French 	Cognates 	Etymology 	Possible Celtic Cognates 	Latin/Romance
bâche 'canvas sheet, tarpaulin' 	Gasc bascojo 'hanging basket', Asturian bascayu, Port. basculho/vasculho, Béarn bascoyes, Fr (dial) bâchot, bachou 	OFr baschoe 'type of hod', from Gaul. bascauda 'wicker chest, hamper', from *basca 'binding' 	W basg 'plaiting', MIr basc 'neckband' 	-
balai 'broom (sweep)' 	Sp baleo 'broom (plant)', Astur baléu 	OFr balain 'broom (plant)', from Gaul *balatno, metathesis of *banatlo 	MBr balazn (mod. balan), Sc bealaidh, Ir beallaidh vs. W banadl, C banadhel 	Lat. scobum (cf. Fr dial. écouvillon)
barge1 'godwit' 	Liguro berta 'magpie' 	Gaulish bardala, diminutive of bardos 'bard' 	MW bardd 'poet', OIr bard, MBr barzh 'minstrel', OC barth 'mime, jester' 	Lat. corydallus (from Greek korydallis)
barge2 'haybale, straw heap' (Western) 	Sp/Port varga "thatch-roof hut, straw-roof hut", Cat/Pg/Occ/Liguro barga "wattle hut", Ital barca "haystack" 	Gaul bargā (Latin fundus bargae, in Tabula Veleiana, 2nd century) 	MIr barc 'fort; woodshed' (< *bargā) 	-
barnache, bernache 'barnacle goose' 	- 	OFr bernaque, fr Gaul. barenica 'limpet', fr barenos 'rock, boulder' (cf. OIr barenn 'boulder'); for semantic development, compare Greek lépas 'rock' > lepás 'limpet' 	Ir báirneach, Sc bàirneach, W brennig, C brennik, Br bernig, brennig 	-
bassin 'basin' 	Prov. bacha 'feeding trough', FrProv bachè, bacha 'large vat', Amognard bassie 'sink' 	OFr bacin, from ML baccinum, from LL bacca 'wine or water jug', from Gaulish 'burden, load to bear' 	Ir/Sc bac 'hindrance, heed', W baich 'load, burden', C begh 'load, burden', Br bec'h 'burden, toil' 	-
battre 'to beat' 	Sp. batir , Mantuan batü 'beaten, beat', Port. bater 	Latin battuere, from Gaulish *battu 'I strike, hit' 	W bathu 'to coin, mint (money)', C bathi 'to coin, mint (money)' 	-
bauge 'wild boar den; cob, hut' 	FrProv (Swiss) bache 'swamp hay', Prov bauco, balco 'rough-leafed grass, tuft of hay, swamp grass used as bedding', OProv terra bauca 'good, solid turf' 	OFr balche, from Gaul balco 'strong' 	OIr balc, Ir bailc, Sc bailceach, W/C balch, Br balc’h 	-
baume 'grotto' 	Prov baumo, Lombardo balma, Piemontese barma 	Gaul *balma 	Ir baile 'home; town' 	-
bec 'beak' 	Cat bec, It becco, Port. bico, Sp pico 	Latin beccus 'beak', from Gaul *beccos 'beak', perhaps originally 'little' 	perhaps OIr becc 'little', Ir/Sc beag, W bach; diminutives C byghan, Br bihan 	Lat rostrum
belette 'weasel' 	Lorrain belâ, blâ, Liguro bélloa, Venetian belita, Piem/Lomb. bellola, Sp dial. belida, bilidilla 	From FrPov belete, from Gaul bela 	MW beleu, W bele, belaod (pl.) 'marten' 	Lat mustella (cf. OFr moistele)
benne 'handbarrow, dumpster, mine cart', banne 'awning; large wicker basket' 	It benna 'dung cart', G (Swabish) Bann 'cart, hod', G Behner 'basket', Du ben, benne 'basket', E bin 	Gaul benna 	W benn 'cart', OIr buinne, Br karr-banner 'truck bed', OBr benn 'caisson (chariot)' 	-
berle 'water parsnip' 	Sp berro 'watercress' 	Gaul. berula 'cress', diminutive of beru 'stake, spit' 	W berwr, C/Br beler, OIr biror, Ir biolar, Sc biolaire; further to Ir/Sc bior, W bêr, C/Br ber 	-
berceau 'cradle', bercer 'to rock', ber 'drydock' 	Prov bressà 'to rock', brès 'cradle', Port. berço 'cradle', Sp dial. brezar 'to rock', brezo 'cradle' 	OFr bers, berz 'cradle', fr Gaul. *bertu 'I rock', fr *berta 'load' 	Ir beartaim 'I rock', beárt 'load, action'; further to OIr brith, breth f. 'carrying, judgment', MW bryd m. 'thought, mind, intent', C brys 'thought' 	-
bief 'mill reach, mill race' 	Genoese (Liguro) bëo 'ditch, channel', Asturian beyu' 'narrow gorge' 	OFr bied, from Gaul. *bedo 'ditch; grave' 	W bedd 'grave', Br bez, C bedh 	-
bille 'log' 	Prov. bilha 'stem, trunk' 	Gaul. *billia 'tall tree' 	W pill 'stump', Br pil, Mx billey 'tree', Ir billeóg 'leaf', bille oir 'tree trunk', Sc bileag, bile 'leaf, blade' 	-
boisseau 'bushel' 	Lyon emboto 'two handsful', Cat embosta, almosta, Sp ambuesta 	Diminutive of OFr boisse 'dry measure of grain', Gallo-Lat. *bostia 'hollow of the hand', fr Gaul. *bosta; cognates from *ambostā 	Br boz, OW bos, MIr boss, bass, Ir bass; OIr imbas 'clasped hands' 	-
bonde, bondelle 'bunghole' 	OProv bonda 	Gaul. bunda 'base, bottom' 	OIr bunud, MIr bond, Sc bonn 'foundation', W bonedd 'base, foundation' 	-
borne 'milestone, landmark' 	- 	OFr bonne, bosne, fr earlier bodne, Gallo-Lat. bodina ‘arbre frontière’, fr Gaul. bodînâ ‘troop’ 	OIr buiden 'squadron', Ir/Sc buidhean/n 'regiment', W byddin 'grove', Br bodenn, bod 'thicket' 	-
boue 'mud' 	- 	Gaul *bowā 	W baw 'filth, muck', budr 'dirty, messy', OIr búaidir 'dirty', Br (Ouessant) baouer 'gooey stubstance (from seaweed)', C beudhowr 'filthy water' 	-
bouge 'hovel, dive' 		Gaul. boutigo 'cow byre', compound of bou 'cow' and tego 'house' 	Br boutig, W beudy, Ir bothigh; further to Ir bó, MW bu 'oxen' and Ir teach, g. tí, Sc taigh, Br/OC ti, C chi, W tŷ 	-
bouillon-blanc 'mullein' 	- 	ML bugillō, fr Gaul., fr boccos 'soft' 	Br beuk, Ir bog 	Lat verbascum (cf. Sp varbasco)
bouleau 'birch' 	Ardennais boule, Prov bes(se), Cat beç, bedoll, Sp abedul, Port bétula 	Diminutive of OFr boule, from Lat. betula, dim. of Gaul. betua 'birch' 	Ir/Sc beith, W bedw, Br bezv, Manx beih 	-
bourbe 'muck, mire' 	Galician/Port. borba 'mud', Asturian borbolla 'bubble', Sp burbuja 'bubble' 	Gaul borvon 'spring, well' 	Ir bearbh 'boiling', W berw 'boiling, seething', Br berv 'broth, bubbling' 	-
bourdaine 'alder buckthorn' 	ONorm borzaine, French dial. bourg-épine, Walloon neûr-bôr, Basque burgi 'alder buckthorn', German Eberesche (Aberesche, Eberbaum) 'service-tree', Flemish haveres (influenced by haver 'oat') 	From Western dialect, from OFr bourgène, from Gaul *eburi-gena, from eburos 	W efwr 'cow parsnip', dial. (N) ewr, Br evor 'alder buckthorn', Sc iubhar 'yew', Ir iúr, OIr ibar 	-
brai 'pitch' 	Prov brac, It brago, braco 'mud', OFr bragnier 'to plow' 	Gaul *bracu 	W bracu 'filth', MIr broch 'garbage' 	Lat pix (cf. Fr poix)
braie(s) 'breeches, pants' 	Prov/Sp. braga, It braca, Mantuan braghi 'trousers' and braghìn 'short trousers'; Br bragoù 	Lat. braca 	- 	-
braire 'to bray', brailler 'to bawl, whine' 	- 	Late Latin bragire, from Gaulish *bragu 	MIr braigid 'it crashes, explodes', Ir/Sc braigh 'to shriek, crackle', Br breugiñ 'to bray' 	-
bran 'filth' 	Berry/Picard brin, Prov/OSp bren, It (dials) brenno 	OFr bren 'bran, filth', from Gaul. brennos 'rotten' 	OIr brén, Ir bréan 'smelly, rancid', Sc breun, W braen 'stench', braenu 'to rot', Br brein 	Lat. caecum 'filth' (cf. Sp cieno)
branche 'treelimb' 	Prov branca 'paw', Port. braça 'treelimb', It brance 'claw, paw', Romansch dial. franka, Rum brânca 	Late Latin branca 'paw', from Gaul. *vranca 	Br brank, branc'h 'bough, antlers', Sc bràc 'branch, antler; reindeer' 	-
brasser 'to brew' 	Fr dial. brai, bray 'malt' 	OFr bracer, fr brace 'malt', fr Gaul brace 	OIr mraich, Sc braich, W/C brag 'malt', Br bragez 'wheat germ' 	-
brave 'brave, daring' 	Occ/Cat. brau 'tough, wild' 	MFr brave, fr It bravo 'bold', fr Occ brau 'wild', fr Gaul. bragos 'show-off' 	MIr breagha 'fine', Ir breá, Sc brèagh, C bray, Br braga 'to strut around' 	-
bréhaigne 'barren (animal)' 	Pg/Galician/Astur/Salander braña, Port. brenha 'swampland, bogland, humid meadow', Sp breña 'scrubland', NW Cat braina 'field of grain whose ears have not sprouted yet', N. Ital. barena 'flood plain of a lagoon' 	OFr baraign, brahain, fr Lat. brana ‘sterile mare’, fr Gaul. *branna 'land where nothing grows', fr *brenno 'rotten' 	Ir branar, W braenar 'fallow', Br breinar; see bran above 	-
breuil 'copse' 	Prov brogo, Mantuan bröl 'orchard, vegetable garden', Germ. Brühl 'prairie' 	OFr bruil (attested ML breialo (Vienna Glossary)), fr Gaul *brogilos 'thicket, hunting reserve', diminutive of brogos 'country' 	W/C/Br bro 'country', Ir bruig, Sc brugh 'tumulus, large house', Mx broogh 'brae, bank' 	-
bribe 'fragment, parcel' 	Pic brife 'bit of bread' 	Gaul. briba 	W briw 'fragments', C bryw, Br brev 'broken', Sc breaban 'leather patch', Ir preaban 'parcel, piece, patch' 	-
briser 'to break' 	Mantuan brisa 'bit of bread' 	OFr brisier, fr Gaul. brissu 'I break' 	OIr brissim, Ir/Sc bris, Mx brishey 	Lat frangere (cf. OFr fraindre)
broche 'spit, skewer' 	Asturian bruecu 'pointed, sharp' 	Gaul. brocca, fr broccos 'pointed', Port. broca 	Sc brog 'awl; to prod', W procio 'to poke, thrust', Ir prioc; OIr brocc 'badger', Ir broc, W broch, Br broc'h 	-
bruire 'to roar; rustle, murmur' 	- 	Gaul. bruge 'to troat' 	W broch 'din, tumult', Br bruchell 'roar, bellow', Sc broiglich 'noise', broighleadh 'turmoil'; Ir brúcht 'belch' 	-
bruyère 'heath, moor' 	Prov bruguiera 'moorland', Cat bruguera; Milan brüg, Ital brugo, Prov bruga, Germ (dial. Mainz) Brikane, Cat bruc; Sp brezo, (Navarre) beruezo, Gal breixo, Port brejo (< *broccius) 	Gallo-Lat. brucaria, fr brūcus, fr late Gaul *vroikos, fr earlier vroici, vroica 	W grug, dial. (Pembroke) gwrig, C grig, MBr groegan, Ir/Sc fraoch, Manx freoagh 	-
bugle 'bugle (plant), bugleweed' 	Mantuan bög 'soft fruit, overripe fruit' 	OFr bucle, fr LL bugula, fr Lat bugīlla, fr Gaul., diminutive of buccos 'soft' 	MIr bocc 'soft', Ir/Sc bog 'soft', Br bouk 'soft, mild' 	-
cabane 'cabin, cob' 	OFr chavane 'small farmstead', Mantuan capanùn 'barn' 	fr Prov. cabana 'cob, cottage', fr Gaul. capanna 'hut', fr cappos 'cob, tent' 	W caban 'booth, hut', Br koban 'booth, awning', Ir/Sc cabán 'hut, booth, tent', Port cabana; further to W cab 'cot, tent', MIr cap(p) 'cart, bier' 	-
caillou 'pebble' 	MFr chaillou, chail, Pic caillau, Poit. chail, SwFr/Fr-Comt chaille, Port. calhau, Prov. calado, Astur. cayuela 'pebble, chestnut' 	Normand or Picard, fr Gaul. caliavo 'pebbly', fr cali 'pebble' 	W caill, C kell, Br kell, kall, Ir caull 'testicle' 	-
cervoise 'barley beer' 	Port. cerveja, Span. cerveza 	Gaul. cervesia 	C corev 'beer,' W cwru 'beer, ale' 	-
chainse 'linen canvas, undershirt' 	- 	OFr chainse 'tunic', fr L camisia 'shirt', fr Gaul. 	OIr caimmse 'shirt', W obs. cams(e) 'surplice, alb', C kams 'surplice, alb', Br kamps 'hem' 	*Note: chemise 'shirt' is an early learned borrowing and not inherited
changer 'to change, exchange' 	Sp. cambiar, Ast. cambéu 'exchange' 	OFr changier, from L cambiāre 'to barter', earlier cambīre, from Gaul cambion 'exchange' 	Br kemm 'exchange', OIr cimb 'ransom' 	-
char 'wagon', charrue 'plough' 	Basq ekarri 'to bring', OProv carruga 'cart' Astur. carru, Port. charrua, Mantuan car 'chariot,wagon' and carét 'cart' 	L carrus 'chariot', fr Gaul. carros; L carracutium, fr Gaul. carruca 'ceremonial plough' 	Ir carr 'dray, wagon', W carr 'chariot', C/Br karr 'cart' 	-
charançon 'weevil' 	- 	MFr charenson, dim. of OFr *charenz, from LL *caranteus, fr Gaul. *carvantos, fr carvos 'stag' 	W carw, C karow, Br karv, OIr carbh, Ir cáirrfhiadh 	-
charpente 'framework, building frame' 	Lorr charpagne 'hamper', Port cabaz 'hamper', Welche charpin ‘large osier basket’, Friul čharpint ‘cart axle’ 	L carpentum, fr Gaul. carbanto 'carriage', fr carbos 'basket' 	Ir carbat, Sc carbad, W cerbyd, OBr cerpit 	-
chat-huant 'tawny, brown, or wood owl' 	OPic coan, Judeo-French javan, FrProv (Swiss) tsavouan 	MFr chouan, fr L cavannus, fr Gaul. 	Ir ulchabhán, W tyllhuan, cuan, C kowann, Br kaouenn 	-
chemin 'way, path, route' 	Sp. camino, FrProv tch’mïn, Prov. camin, Astur. camín, Port. caminho 	LL camminus 'step, footpath, tollspot', fr Gaul. camani, plural of camanom 'step' 	Ir céim 'stride', pl. céimmenn, Sc ceum, W/C cam 'step', OW pl. cemmein 'steps', Br kam 'step' 	-
chêne 'oak' 	Prov cassanh, Gasc casse, FrProv (Swiss) tsâno, Port. caixigo, Astur caxigu, Aragon caixico 	OFr chasne, chesne, fr LL casnus, fr Gaul. cassanos literally, 'twisted, gnarled' 	Ir cas 'to twist, turn, spin', W cosgordd 'to twist' 	L quercus
chétif 'wretched, meek, weakling' 	Prov caitiu,Mantuan catif 'bad' 	OFr chaitif, blend of Gaul. caxtos 'prisoner' and Lat captivus 'prisoner' 	W caeth 'slave, confined', C keth 'slave', Br kaezh 'miserable, unfortunate', Ir cacht 'distress, prisoner' 	-
cheval 'horse' 	It cavallo, Sp. caballo, Port. cavalo, Rum cal; Germ (Swabish) Kōb 'nag' (< cabō), Mantuan kaval 	Latin caballus 'nag', from Gaul. caballos, variant of cabillos 'work horse, nag', dim. of cabō (> L) 	W ceffyl, Br kefel, Ir capall, Manx cabbyl 	Lat equus
claie 'rack, fence post, hurdle' 	Gasc cleda 'small gate', Cat. cleda 'cattle pen, sheepfold', Aragonese cleta 'wooden gate', Portuguese cheda 'wagon bed', Basq gereta 	VL cleta, fr Gaul. 	W clwyd 'gate, hurdle', Br kloued 'fence, harrow', C kloes 'hurdle, lattice', Ir/Sc clíath 'hurdle' 	-
cloche 'bell' 	Germ Glock, Galician choco, Port. chocalho, 'cowbell' 	Gaul. clocca 	Ir/Sc clog, W cloch, C klogh, Br kloc’h 	Lat tintabulum
coche 'brood sow', cochon ‘pig’ 	Wal cosset, cosson, Morvan coisson ‘piglet’ 	Gaulish *coccā ‘hip’, akin to coxo ‘foot’ (for sense development, compare obs. German †Hackshe ‘brood sow’ from Hachse ‘hock’) 	Old Irish coch ‘hip’; further to OIr coss ‘foot’, W coes, C koes, Br koaz ‘leg’ 	-
combe 'hollow' 	Occ comba 'valley', Cat coma, Port. comba, Astur. comba 	LL cumba 'dishes', fr Gaul. comba 'concave, cavity, depression' 	W cwm 'hollow', C komm 'small valley, dingle', Br komm 'trough, valley, deep water', Ir com 'chest cavity', OIr comm 'vessel' 	-
corme 'service berry' 	- 	LL corma, fr Gaul. curmi 'ale, beer' 	OIr cuirm, coirm, gen. corma 'beer', W cwrw, cwrwf, cwrf 'ale', C/Br korev 	-
coudrier 'hazel' 	Amognes coudrette, queudre, FrProv cudra, Romansch coller; Occ còila 'hazel switches, hazel osiers' 	OFr coldre, from Gallo-Latin colurus, blend of Gaul collos and Lat corulus 	OIr coll (mod. coill), W coll, C koll, Br (lit.) kollenn) 	Lat corulus
coule 'religious cowl' 	- 	OFr coule, goule 'cowl', fr Lat. cucullus, fr Gaul., reduplication of cullo 'covering, shelter' 	OIr cuilche ‘mantel’, cuile ‘cellar’, MIr cul ‘defense, shelter’ 	-
craindre 'to fear' 	Saintangois crénre, Prov crénher 	Old French creindre, from VL *cremere, from Gaul. *crenu ‘I shake’ + L tremere ‘to shake’ 	W crynu, Br/C krena; W cryn 'shaking', Br kren, C crên 	Lat timere (cf. OFr temir, It temere, Rmsch temair, Cat temer)
cravan 'brant goose' 	- 	Western dialect cravant 'wild goose', fr *cragu- + -ant, fr Gaul. *crago 'hoarse' 	W cregu 'to be hoarse', cryg 'hoarse', C kreg 'hoarse' 	-
crème 'cream' 	FrProv (Lyon) cramiot 'spittle' 	OFr cresme (influenced by LL chrisma 'ointment'), fr Gaul crāmum ‘skim, skin’ 	W cramen 'scab', C kramm, Br kramm, kremm, MIr screm 'surface, skin' 	-
créner 'to indent, notch, carve', cran 'notch, catch' 	- 	Gaul. crinos 'collapsed, fallen in' 	OIr ar-a-chrinim 'I collapse, crumble, shatter', crinner 'fall', crín 'withered, decayed' 	-
creux 'hollow, pit, dip' 	Fr-Prov cros 'hollow, cave', Prov. cros 'tomb', Occ. cro, Ligurian creusa, creuso 	OFr crues, fr Gallo-Lat. crosus, fr Gaul. *crossos 	- 	-
daim 'roedeer' 	- 	Lat. damma, dammus, from Gaul dammos 'ox, stag' 	OIr dam 'ox, stag', damán 'fawn', Ir damh 'ox'; W dafad, C davas, Br dañvad 'sheep' 	-
dartre 'rash, blemish, breakout; dartars' 	Poit endarde, Milan dérbeda, Valais. diervet, Prov derbi, derti, It (dial) derbi, derbga 	Old French dertre, from Lat. derbita, from Gaul *derveta 	Br darvoued, derbod, W tarwyden, darwyden 'scurf, dandruff', OIr deir 'herpes' 	-
décombres 'debris, rubble', encombrer 'to encumber' 	Germ Kummer 'rubble', Sp. escombro 'rubble', Port. cômoro 'mound, hillock' 	OFr combre 'river barrage, dam', from ML combrus 'barricade of felled trees', from Gaul. combero 'river fork, dam' 	Br kember, W cymmer, Ir comar, cumar, OIr commor, cummar 	-
douve 'liver fluke' 	Norm duve, FrCmt dôrve, Bas-Alpes endervo, Corrèze olvo 	Gaul. *dolba 'grub, caterpillar', from *dolbu 'I chisel, carve' 	OIr dolbaid 'he forms, shapes' 	-
draine, drenne 'mistle thrush' 	Tecino dren 'raspberry', Comasc dren 'blackberry', Milan drine 'hawthorn'; partially Pic fourdraine 'sloe' 	Gaul. drageno 'thorn, briar'; semantic development 'thorn bush' > 'aggressive bird' 	OIr draigen, Ir/Sc droigheann, W/Br draen, C drain/drein 	-
drap 'cloth' 	It. drappo, Sp/Pg trapo, Mantuan drap 	Late Latin drappus 'piece of fabric', from Gaul. *drappo 'shred, torn-off piece' 	W drab 'piece, shred', drabio 'to tear into pieces' 	-
drèche 'brewing dregs' 	Prov draco 'wine lees', Dauph drachi 'stamped raisin bunch', Wall drâhé 	OFr drasche 'barley dregs; raisin skin', from Gaul. drasca 	MIr tresc 'refuse, offal', Ir treascach 'draffy', Sc treasg 'dregs' 	-
drille 'rag, tatter' 	Lyon drouille 'tatter', Dauph. drouille 'wood chip' 	OFr drille 'fabric scrap', fr Gaul. *drullo 'piece, shred' 	W dryll 'fragment, small piece', MBr druill, C dral 'scrap, fragment', Sc dreall/dreoll 'door bar'; 	-
dru 'thriving, hardy, fit, thick' 	Bourb drusine 'vigor', Amognard dru 'lively', druger 'to grow, get livelier', Prov. endrudi 'to enrich', OProv drut 'lover', NItal drü 'fat, thick', Milan druto 'exuberant' 	OFr dru 'lively; fat', from Gaul. drūtos 	W drud 'brave, valliant, furious', OIr drúth, édruith 'lewd, extravagnt', Sc drùth 'lecherous', Br druz 'fat, fit, fertile' 	-
érable 'maple' 	FrProv iserâblo 	OFr airable, from LL acerabulus, blend of abolo 'apple' and Lat. acer ‘maple’ (akin in formation to W criafolen 'rowan', afol tindoll 'medlar', OIr fic-abull 'fig tree') 	- 	Lat acer
étain 'tin, pewter' 	Sp. estaño,Mantuan stajgn'hard', Port. estanho 	Lat stagnum, var. stannum, fr Gaul. stannon (according to Pliny) 	Ir stán, OSc stàn, W ystaen, C sten, Br stean 	-
flannelle 'flannel' 	Jersiais flianné 'flannel', Mantuan flanèla 'flannel' 	Old Normand flanelle, fr OFr flaine 'coarse wool', fr Gaul. vlana 'wool' 	W gwlân 'wool', gwlanen 'flannel', C gwlan, Br gloan, Ir olann, Manx ollan 	-
fragon 'butcher's broom' 	Walloon frigon 	OFr fregon, fr Gaul. *sprigo 	W ffreu 'fruit' 	-
gaillard 'festive, hardy, merry' 	- 	Gaul. galia 'might', Mantuan gaiard'hardy, strong' 	W obsolete †gâl 'strength', gall 'energy', OBr gal, Br galloud 'power', C gallos 'ability', OIr gal, gallacht 'valor' 	-
galet 'flat rock, skipping stone' 	Fr dial. jalet 'stone projectile of cross bow' 	Normand or Picard, fr Gaul. gallos 'large rock' 	OIr gall 'stone pillar', gallán 'large upright stone' 	-
galon 'galon', jalon 'marker' 	Cat galleda ‘bucket’ 	OFr jalon ‘liquid measure’, diminutive of jale 'porringer', fr LL galla ‘vessel, container’, fr late Gaul. *glāvo 'rain', fr earlier *glōvo 	W glaw 'rain', Br glao, C glaw 	-
garenne 'rabbit warren' 	Fr dial. varaigne, Astur. varagaña 'enclosure' 	Gaul. varena 'enclosed area' (cf. varonadas (nom. pl.)) 	Ir/Sc fearann 'land, enclosure', OIr feronn 'field', ferenn 'girdle, garter' 	-
gerzeau 'corncockle' 	OFr jargerie, jarzerie 'cockle, weed', Val d’Aosta dardillon 'pignut' 	Gaul. gargos 'wild; bitter' 	Ir/Sc garg 'wild; bitter' 	-
glaise 'loam' 	Normand glise 	OFr gleise, gloise, fr Gallo-Lat glisomarga 'clay marl', fr Gaul. gliso 'white' 	W glwys 'bright, pretty', OBr gloes 'pretty', OIr glése 'brightness', Ir/Sc gleus 'order, trim, tune' 	-
glaive 'broad sword' 	- 	From *gladibu, blend of Lat gladius + Gaul. cladebos 	W cleddyf, Br kleze, C cledhe, OIr claideb, Ir claíomh, Sc claidheamh 	Lat ensis
glaner 'to glean' 	OProv glenar 	OFr glener, fr LL glenare, fr Gaul. glennu 'I gather, sort', fr glanos 'clear, pure' 	OIr glenn- 'to choose, amass', do-glinn 'he collects, gathers', MIr digliunn 'I glean', W (SW) dichlyn 'to select, sort out' 	-
gober 'to gobble, guzzle, devour', gobe 'morsel, gob' 	- 	OFr gobe, fr Gaul. gobbo 	Ir gob 'mouth', Sc/Manx gob 'beak', W gwp 'bird’s head/neck' 	-
gord 'kiddle, stake net' 	Prov. gòrsa 'hedge, bush', Limousin gorso 'bush', Lombard gorz 'bush' 	OFr gort 'boundary hedge', from Gaulish gorto 'yard; hedge' (because of its shape) 	Ir gort 'wheatfield', W garth 'hill, enclosure', Corn gorth, OBr orth 'yard, enclosure' 	-
gosier 'gizzard' 	Wal. djwèhe, Lorr. gosse, Ardenn. gosi 'gizzard', gosillon 'Adam's apple', Friul gose, It gozzo, Rum guşă ‘maw, goiter’, Mantuan gòs 	OFr geuse, josier, from VL geusiae 'gizzard edges', from Gaulish, from *geusi 'to pour' 	W gewai 'glutton' 	-
gouge 'gouge, chisel' 	OProv goja, It gubba, Sp gubia, Port. goiva 	Gaul. gulbia 'piercer', fr *gulbu 'beak' 	OIr gulba 'sting', W gylyf 'sickle' 	-
graisset 'green tree frog' 	Occ grasan, graissan 'toad', Cat grexá 'toad', gresandu 'tadpole' 	MFr gresset, from Gaul. *craxantos (attested craxaulus), from craxa 'scab, rough patch' 	W crach 'crust, scab', C kragh 'scurf', Br krak 'gruff' 	-
grève 'sandy shore, sandy beach', gravier 'gravel' 	Fr (Western dials.) groue, Prov/Cat/Astur. grava, Venit grava, Friul grave 	Gallo-Lat. grava, fr Gaul. gravis 	Br gro 'silt', C grow 'gravel', W gro 'gravel' 	-
guenille 'rag, tatter' 	- 	Western dialect, from guener, gueniller 'to wet, dampen', fr guène, gâne 'pond, pool', fr OFr gasne 'muddy pool', fr Gaul. vāgna ‘slope; moor’ 	C/Br geun 'swamp', W gwaun 'lowland, meadow', Ir fann 'slanting, sloping', fána 'downward slope, hollow' 	-
if 'yew' 	Prov (Maritime) liéu[1] 	Gaul. ivos[2] 	W yw, C ywin, Br iwin, OIr eó 	Lat. taxus (cf. Occ teis, FrProv dêx, Romansh taisch)
jachère 'fallow field' 	Sp gancho 'large hook' (< gansciu) 	LL gascaria 'scratch-plough', fr Gaul. gansko 'branch' 	OIr gesca 'stem, branch' 	LLat. vervactum (cf. Fr guéret 'tilled but unsown field', Sp barbecho)
jaillir 'to gush, spurt' 	Norm galir 'to throw' 	Gaul. gali 'to boil' 	Ir gailim 'to boil over', Manx gaal 'steam', Sc goil 'to boil', gèil 'to bubble, well up' 	-
jante 'wheel rim' 	Pic gante, Occ cant, Sp canto, It canto 'corner' 	L canthus, cantus, fr Gaul. cantos 	Br kant 'ring', W cant 'felloe, rim', MIr céte 'gathering (in a circle)', Ir cétal, s. canó, OW canten, cantem 	-
jarret 'hamstring, bend of the knee' 	OProv/Sp garra 'claw', Prov garro, Fr dial. gare, jarre 'thigh' 	OFr garet, diminutive of gare 'leg, thigh',Mantuan garét, diminutive of 'leg' and galùn 'thighs' from Gaul. garra 'leg' 	W gar, C/Br garr, OIr gairri 'calves of the leg', Ir cara 	-
javelle 'sheaf, fagot, bundle' 	OOcc gabella, Occ gavèl, Port. gavela, gabela, Sp gavilla 	LL gabella, fr Gaul. gabali 'armfull', fr gabu 'to take' 	W gafeal 'to grasp, hold', C gavel 'grasp, hold', MIr gabáil 	-
