word,borrowing,age_oldest,age_youngest,age_oldest_num,age_youngest_num,word.1,phonology,phonlength,AoA,subtlexzipf,conc,cat,AoA_obj,source.language,source.word,source.language.mean.word.length,source.language.word.freq,source.word.length,18-260,word,5,age,source,effect,ids.code,ids.code2,1,modern.english,middle.english,old.english,old.english.length
screwdriver,5,1779,1779,221,221,screwdriver,skrudr2v@R,10,6,3.34,4.9,Noun,4,English,NA,3.450980392,4.96E-10,10,23-555,screwdriver,5,1779,None,,,,,,,,
livestock,5,1775,1775,225,225,livestock,l2vstQk,7,7.89,3.75,4.7,Noun,4,English,NA,3.450980392,0.009532476,7,3-150,livestock,5,1775,None,,3-150,3-150,1,livestock,fe,ceÌ„ap,4
sniff,5,1767,1767,233,233,sniff,snIf,4,6.16,3.87,4.17,Verb,2,English,NA,3.450980392,0.324104167,4,15-212,sniff,5,1767,None,,15-212,15-212,1,sniff,sniffen,toÌ„stincan(?),9
anteater,5,1764,1764,236,236,anteater,{ntit@R,7,8.5,2.98,4.86,Noun,4,English,NA,3.450980392,0.009532476,7,3-890,anteater,5,1764,None,,,,,,,,
eyelash,5,1752,1752,248,248,eyelash,2l{S,4,5.8,2.79,5,Noun,2,English,NA,3.450980392,0.324104167,4,4-214,eyelash,5,1752,None,,4-214,4-214,1,eyelash,her of eie-lid,bruÌ„(?),3
fireplace,5,1702,1702,298,298,fireplace,f2@pl1s,7,7.37,4.21,4.68,Noun,2,English,NA,3.450980392,0.009532476,7,7-310,fireplace,5,1702,None,,7-310,7-310,1,fireplace,herth,heorÎ¸,5
glasses,5,1700,1700,300,300,glasses,gl#sIz,6,4.35,4.37,4.9,Noun,2,English,NA,3.450980392,0.009532476,6,23-240,glasses,5,1700,None,,,,,,,,
snowshoe,5,1674,1674,326,326,snowshoe,sn5Su,5,7.68,1.9,4.67,Verb,NA,English,NA,3.450980392,0.095324755,5,6-980,snowshoe,5,1674,None,,,,,,,,
homeland,5,1670,1670,330,330,homeland,h5ml{nd,7,9.35,3.46,3.45,Noun,4,English,NA,3.450980392,0.009532476,7,19-120,homeland,5,1670,None,,19-120,19-120,1,one's native country,contreÌ„-e,eÌ„Î¸el (eÌ„Î¸elturf,12
newspaper,5,1667,1667,333,333,newspaper,njusp1p@R,9,5.78,4.48,4.82,Noun,2,English,NA,3.450980392,1.51E-07,9,23-600,newspaper,5,1667,None,,,,,,,,
firefly,5,1658,1658,342,342,firefly,f2@fl2,6,6.39,2.73,4.9,Noun,2,English,NA,3.450980392,0.009532476,6,3-910,firefly,5,1658,None,,3-910,3-910,1,firefly,noctiluca,,
axle,5,1634,1634,366,366,axle,{ksP,4,10.85,2.93,4.5,Noun,4,English,NA,3.450980392,0.324104167,4,10-770,axle,5,1634,None,,10-770,10-770,1,axle,ax-e,eax,3
herdsman,5,1603,1603,397,397,herdsman,h3dzm@n,7,9.61,2.06,4.11,Noun,4,English,NA,3.450980392,0.009532476,7,3-180,herdsman,5,1603,None,,3-180,3-180,1,herdsman,herd-e,hirde,5
squeeze,5,1601,1601,399,399,squeeze,skwiz,5,5.42,4.36,3.75,Verb,2,English,NA,3.450980392,0.095324755,5,9-343,squeeze,5,1601,None,,9-343,9-343,1,squeeze,quisen,wringan,7
hurry,5,1600,1600,400,400,hurry,hVrI,4,4.44,4.53,2.63,Verb,2,English,NA,3.450980392,0.324104167,4,14-230,hurry,5,1600,None,,14-230,14-230,1,hasten,hien,racian,6
puke,5,1600,1600,400,400,puke,pjuk,4,6.94,3.03,4.59,Verb,8,English,NA,3.450980392,0.324104167,4,4-570,puke,5,1600,None,,4-570,4-570,1,vomit,speuen,spiÌ„wan,6
grandchild,5,1587,1587,413,413,grandchild,gr{nJ2ld,8,5.26,3.25,4.26,Noun,2,French,grand,3.5,0.13454128,5,2-500,grandchild,5,1587,French contact,Replacement,,,,,,,
stocking,5,1583,1583,417,417,stocking,stQkIN,6,6.68,3.37,4.86,Noun,2,English,NA,3.450980392,0.009532476,6,6-490,stocking,5,1583,None,,6-490,6-490,1,stocking,hose,hosu,4
hiccough,5,1580,1580,420,420,hiccough,hIkQf,5,10.2,3.28,4.31,Noun,12,English,NA,3.450980392,0.095324755,5,4-521,hiccough,5,1580,None,,4-521,4-521,1,hiccough,yexen,suÌ„gan,5
stutter,5,1570,1570,430,430,stutter,stVt@R,6,8.78,2.78,3.97,Verb,4,English,NA,3.450980392,0.009532476,6,18-211,stutter,5,1570,None,,18-211,18-211,1,stutter,stutten,stamerian,9
shark,5,1569,1569,431,431,shark,S#k,3,5.47,4.17,4.93,Noun,4,English,NA,3.450980392,0.390831496,3,3-661,shark,5,1569,None,,3-661,3-661,1,shark,shark,,
hug,5,1567,1567,433,433,hug,hVg,3,2.58,4.13,4.14,Noun,2,English,NA,3.450980392,0.390831496,3,16-300,hug,5,1567,None,,16-300,16-300,1,embrace,embracen,clyppan,7
splash,5,1565,1565,435,435,splash,spl{S,5,3.67,4.13,4.19,Noun,2,English,NA,3.450980392,0.095324755,5,10-352,splash,5,1565,None,,10-352,10-352,1,splash,plash-e,,
workshop,5,1562,1562,438,438,workshop,w3kSQp,6,7.78,4.01,4.54,Noun,4,English,NA,3.450980392,0.009532476,6,23-580,workshop,5,1562,None,,,,,,,,
collarbone,5,1550,1550,450,450,collarbone,kQl@b5n,7,8.89,2.8,4.85,Noun,4,English,NA,3.450980392,0.009532476,7,4-302,collarbone,5,16th century,None,,4-302,4-302,1,collarbone,furcle,wiÎ¸obaÌ„n,7
dandruff,5,1545,1545,455,455,dandruff,d{ndrVf,7,10.74,2.75,4.79,Noun,4,English,NA,3.450980392,0.009532476,7,4-146,dandruff,5,1545,None,,4-146,4-146,1,dandruff,scales,,
fog,5,1544,1544,456,456,fog,fQg,3,6.21,4.08,4.66,Noun,4,English,NA,3.450980392,0.390831496,3,1-740,fog,5,1544,None,,1-740,1-740,1,fog,mist,mist,4
stamp,5,1542,1542,458,458,stamp,st{mp,5,6.33,4.2,4.7,Noun,2,English,NA,3.450980392,0.095324755,5,23-410,stamp,5,1542,None,,,,,,,,
jug,5,1538,1538,462,462,jug,_Vg,3,5.83,4.06,4.96,Noun,2,English,NA,3.450980392,0.390831496,3,5-340,jug,5,1538,None,,5-340,5-340,1,pitcher,picher-e,croc,4
doorpost,5,1535,1535,465,465,doorpost,d$Rp5st,7,7.56,1.3,4.7,Noun,8,French,poste,3.5,0.13454128,5,7-221,doorpost,5,1535,French contact,Coexistence,7-221,7-221,1,doorpost,jaumb,durustod,8
jump,5,1530,1530,470,470,jump,_Vmp,4,2.84,4.84,4.52,Verb,2,English,NA,3.450980392,0.324104167,4,10-430,jump,5,1530,None,,10-430,10-430,1,jump,lepen,hleÌ„apan,7
sometimes,5,1526,1526,474,474,sometimes,sVmt2mz,7,6.37,5.25,1.77,Adverb,4,English,NA,3.450980392,0.009532476,7,14-330,sometimes,5,1526,None,,14-330,14-330,1,sometimes,while,hwiÌ„lum,6
grasshopper,5,1526,1526,474,474,grasshopper,gr#shQp@R,9,5.78,2.91,4.91,Noun,2,English,NA,3.450980392,1.51E-07,9,3-930,grasshopper,5,1526,None,,3-930,3-930,1,grasshopper,gras-hoppe,gÃ_rshoppa,9
fisherman,5,1526,1526,474,474,fisherman,fIS@m@n,7,5.16,3.75,4.73,Noun,2,English,NA,3.450980392,0.009532476,7,20-510,fisherman,5,1526,None,,20-510,20-510,1,fisherman,fisher-e,fiscere,7
nipple,5,1510,1510,490,490,nipple,nIpP,4,9.05,3.07,4.83,Noun,2,English,NA,3.450980392,0.324104167,4,4-412,nipple,5,1510,None,,4-412,4-412,1,nipple,tet-e,(forweard) titt,12
inside,5,1504,1504,496,496,inside,Ins2d,5,4.77,5.36,3.67,Adverb,2,English,NA,3.450980392,0.095324755,5,12-050,inside,5,1504,None,,12-050,Dec-50,1,inside,in,innan,5
firewood,5,1496,1496,504,504,firewood,f2@wUd,6,6.61,3.02,4.93,Noun,2,English,NA,3.450980392,0.009532476,6,1-880,firewood,5,1496,None,,1-880,1-880,1,firewood,fir,tynder(?),6
shed,5,1481,1481,519,519,shed,SEd,3,7.33,4.38,4.55,Verb,6,English,NA,3.450980392,0.390831496,3,7-131,shed,5,1481,None,,7-131,7-131,1,garden-house,caban,,
breakfast,5,1463,1463,537,537,breakfast,brEkf@st,8,3.47,4.64,4.43,Noun,2,English,NA,3.450980392,1.80E-05,8,5-420,breakfast,5,1463,None,,5-420,5-420,1,breakfast,breke-faste,morgenmete,10
outside,5,1457,1457,543,543,outside,6ts2d,5,3.58,5.32,4.25,Adverb,2,English,NA,3.450980392,0.095324755,5,12-060,outside,5,1457,None,,12-060,Dec-60,1,outside,out-e,uÌ„t(an),4
salty,5,1440,1440,560,560,salty,s$ltI,5,5.33,3.87,3.93,Adjective,2,English,NA,3.450980392,0.095324755,5,15-360,salty,5,1440,None,,15-360,15-360,1,salty,salt,sealt,5
padlock,5,1438,1438,562,562,padlock,p{dlQk,6,8.84,2.91,4.92,Noun,2,English,NA,3.450980392,0.009532476,6,7-232,padlock,5,1438,1579,,,,,,,,
loom,5,1404,1404,596,596,loom,lum,3,8.78,3.27,4.5,Noun,6,English,NA,3.450980392,0.390831496,3,6-340,loom,5,1404,None,,6-340,6-340,1,loom,lome,,
shallow,5,1400,1400,600,600,shallow,S{l5,4,7,3.87,3.45,Adjective,4,English,NA,3.450980392,0.324104167,4,12-680,shallow,5,1400,None,,12-680,12-680,1,shallow,shold-e,sceald,6
prawn,5,1400,1400,600,600,prawn,pr$n,4,13.06,3.66,4.62,Noun,13,English,NA,3.450980392,0.324104167,4,3-833,prawn,5,1400,None,,,,,,,,
threshing-floor,5,1398,1398,602,602,threshingfloor,TrESINfl$R,10,#N/A,#N/A,#N/A,Noun,NA,English,NA,3.450980392,4.96E-10,10,8-350,threshing-floor,5,1398,None,,8-350,8-350,1,threshing-floor,threshing-e flor,Î¸irscefloÌ„r,10
earwax,5,1398,1398,602,602,earwax,7w{ks,5,6.39,2.54,4.87,Noun,NA,English,NA,3.450980392,0.095324755,5,4-222,earwax,5,1398,None,,4-222,4-222,1,earwax,ere sope,teoru,5
forge,5,1390,1390,610,610,forge,f$_,3,9.8,3.57,4.04,Verb,6,French,forge,3.5,0.13454128,5,9-610,forge,5,1390,French contact,Coexistence,9-610,9-610,1,forge,smith-e,smiÎ¸ian,7
fishhook,5,1387,1387,613,613,fishhook,fIShUk,6,6.84,1.3,4.87,Noun,2,English,NA,3.450980392,0.009532476,6,20-520,fishhook,5,1387,None,,20-520,20-520,1,fishhook,hok,angel,5
kick,5,1386,1386,614,614,kick,kIk,3,4.06,4.91,4.33,Verb,2,English,NA,3.450980392,0.390831496,3,10-431,kick,5,1386,None,,10-431,10-431,1,kick,kiken,spurnan,7
father-in-law,5,1385,1385,615,615,fatherinlaw,f#D@rInl$,9,#N/A,3.33,#N/A,Noun,4,English,NA,3.450980392,1.51E-07,9,2-610,father-in-law,5,1385,None,,2-610,2-610,1,father-in-law,fader in laue,sweÌ„or,5
mother-in-law,5,1382,1382,618,618,motherinlaw,mVD@rInl$,9,#N/A,3.66,#N/A,Noun,4,English,NA,3.450980392,1.51E-07,9,2-620,mother-in-law,5,1382,None,,2-620,2-620,1,mother-in-law,moder-in-laue,sweger,6
daughter-in-law,5,1382,1382,618,618,daughterinlaw,d$t@rInl$,9,#N/A,2.99,#N/A,Noun,4,English,NA,3.450980392,1.51E-07,9,2-640,daughter-in-law,5,1382,1300,,2-640,2-640,1,daughter-in-law,doughter in laue,snoru,5
shoemaker,5,1381,1381,619,619,shoemaker,Sum1k@R,7,7.58,2.63,4.54,Noun,2,English,NA,3.450980392,0.009532476,7,6-540,shoemaker,5,1381,None,,6-540,6-540,1,shoemaker,sho-makere,scoÌ„here,7
chop,5,1362,1362,638,638,chop,JQp,3,6.74,4.3,4.48,Noun,2,English,NA,3.450980392,0.390831496,3,9-222,chop,5,1362,None,,9-222,9-222,1,chop,choppen,ceorfan,7
widower,5,1362,1362,638,638,widower,wId5@R,6,9.42,2.73,3.96,Noun,6,English,NA,3.450980392,0.009532476,6,2-770,widower,5,1362,None,,2-770,2-770,1,widower,widwer-e,wuduwa,6
son-in-law,5,1350,1350,650,650,soninlaw,sVnInl$,7,#N/A,3.2,#N/A,Noun,4,English,NA,3.450980392,0.009532476,7,2-630,son-in-law,5,14th century,1300,,2-630,2-630,1,son-in-law,sone-in-laue,aÌ„Î¸um,4
shout,5,1350,1350,650,650,shout,S6t,3,4.72,4.43,4.17,Verb,4,English,NA,3.450980392,0.390831496,3,18-130,shout,5,14th century,None,,18-130,18-130,1,shout,shouten,hriÌ„eman,7
spider,5,1340,1340,660,660,spider,sp2d@R,6,3.43,4.24,4.97,Noun,2,English,NA,3.450980392,0.009532476,6,3-818,spider,5,1340,None,,3-818,3-818,1,spider,spither,aÌ„torcoppe,9
saucer,5,1340,1340,660,660,saucer,s$s@R,5,8.44,3.37,4.79,Noun,2,Old French,saussier,4.117647059,0.000899275,8,5-360,saucer,5,1340,French contact,No information,5-360,5-360,1,saucer,saucer-e,bledu(?),5
charcoal,5,1340,1340,660,660,charcoal,J#k5l,5,8,3.38,4.85,Noun,4,English,NA,3.450980392,0.095324755,5,1-890,charcoal,5,1340,None,,1-890,1-890,1,charcoal,char-col,coÌ„l,3
kill,5,1330,1330,670,670,kill,kIl,3,6.35,4.91,3.9,Verb,2,English,NA,3.450980392,0.390831496,3,4-760,kill,5,1330,None,,4-760,4-760,1,kill,slen,cwellan,7
mould,5,1327,1327,673,673,mould,m5ld,4,11.33,4.04,#N/A,Noun,8,French (Anglo-Norman),modle,3.5,0.134541281,5,9-720,mould,5,1327,French contact,Coexistence,9-720,9-720,1,mold,formen,hiÌ„wian(?),6
nape,5,1325,1325,675,675,nape,n1p,3,10.53,2.09,4.44,Noun,12,English,NA,3.450980392,0.390831496,3,4-281,nape,5,1325,None,,4-281,4-281,1,nape of neck,nape,hnecca,6
cough,5,1325,1325,675,675,cough,kQf,3,4.32,3.68,4.36,Noun,4,English,NA,3.450980392,0.390831496,3,4-530,cough,5,1325,None,,4-530,4-530,1,cough,coughen,hwoÌ„s(t)an,7
bunch,5,1325,1325,675,675,bunch,bVnJ,4,4.89,4.43,3.5,Noun,2,English,NA,3.450980392,0.324104167,4,5-712,bunch,5,1325,None,,5-712,5-712,1,bunch,bonche,clystre,7
kidney,5,1325,1325,675,675,kidney,kIdnI,5,9.33,3.94,4.96,Noun,4,English,NA,3.450980392,0.095324755,5,4-451,kidney,5,1325,None,,4-451,4-451,1,kidney,kide-nere,lundlaga,8
wrap,5,1320,1320,680,680,wrap,r{p,3,7,4.1,4.11,Verb,2,English,NA,3.450980392,0.390831496,3,10-140,wrap,5,1320,None,,10-140,10-140,1,wind,winden,windan,6
bald,5,1300,1300,700,700,bald,b$ld,4,7.26,3.72,4.69,Adjective,4,English,NA,3.450980392,0.324104167,4,4-930,bald,5,1300,None,,4-930,4-930,1,bald,balled,calu,4
drunk,5,1300,1300,700,700,drunk,drVNk,5,9.26,4.46,3.48,Adjective,2,English,NA,3.450980392,0.095324755,5,4-980,drunk,5,1300,None,,4-980,4-980,1,intoxicated,dronken,druncen,7
afternoon,5,1300,1300,700,700,afternoon,#ft@nun,7,4.65,5.06,3.7,Noun,2,English,NA,3.450980392,0.009532476,7,14-451,afternoon,5,1300,None,,14-451,14-451,1,afternoon,after-non,geloten dÃ_g,10
cloud,5,1300,1300,700,700,cloud,kl6d,4,3.63,4.77,4.54,Noun,2,English,NA,3.450980392,0.324104167,4,1-730,cloud,5,1300,None,,1-730,1-730,1,cloud,ski-e,wolcen,6
basket,5,1300,1300,700,700,basket,b#skIt,6,5.67,4.16,5,Noun,2,English,NA,3.450980392,0.009532476,6,9-760,basket,5,1300,None,,9-760,9-760,1,basket,windle,tÃ_Ì„nel,5
earthquake,5,1300,1300,700,700,earthquake,3Tkw1k,6,7.53,4.11,3.97,Noun,2,English,NA,3.450980392,0.009532476,6,1-450,earthquake,5,1300,None,,1-450,1-450,1,earthquake,terre-mote,eorÎ¸beofung,11
shoulderblade,5,1300,1300,700,700,shoulderblade,S5ld@bl1d,9,#N/A,#N/A,#N/A,Noun,NA,English,NA,3.450980392,1.51E-07,9,4-301,shoulderblade,5,1300,None,,4-301,4-301,1,shoulderblade,shulder-blade,scearu(?),6
pour,5,1300,1300,700,700,pour,p$R,3,5,4.25,4.14,Verb,2,English,NA,3.450980392,0.390831496,3,9-350,pour,5,1300,None,,9-350,9-350,1,pour,yeten,geÌ„otan,6
bad,5,1297,1297,703,703,bad,b{d,3,2.79,5.56,1.68,Adjective,2,English,NA,3.450980392,0.390831496,3,16-720,bad,5,1297,None,,16-720,16-720,1,bad,ivel,yfel (earg),8
boast,5,1297,1297,703,703,boast,b5st,4,8.22,3.47,2.32,Verb,6,English,NA,3.450980392,0.324104167,4,18-450,boast,5,1297,None,,18-450,18-450,1,boast,yelpen,gielpan,7
girl,5,1290,1290,710,710,girl,g3l,3,4,5.29,4.85,Noun,2,English,NA,3.450980392,0.390831496,3,2-260,girl,5,1290,None,,2-260,2-260,1,girl,maiden,mÃ_gden,6
teacher,5,1290,1290,710,710,teacher,tiJ@R,5,4.55,4.68,4.52,Noun,2,English,NA,3.450980392,0.095324755,5,17-270,teacher,5,1290,None,,17-270,17-270,1,teacher,techer-e,laÌ„reÌ„ow,6
tomorrow,5,1275,1275,725,725,tomorrow,t@mQr5,6,5.19,5.26,2.04,Adverb,2,English,NA,3.450980392,0.009532476,6,14-480,tomorrow,5,1275,None,,14-480,14-480,1,tomorrow,tomorn,toÌ„ morgen(e),9
shiver,5,1250,1250,750,750,shiver,SIv@R,5,7.5,3.27,3.88,Verb,4,English,NA,3.450980392,0.095324755,5,4-680,shiver,5,1250,None,,4-680,4-680,1,shiver,tremblen,bifian,6
always,5,1230,1230,770,770,always,$lw1z,5,6.26,5.76,1.71,Adverb,2,English,NA,3.450980392,0.095324755,5,14-310,always,5,1230,None,,14-310,14-310,1,always,ever,ealneg,6
early,5,1225,1225,775,775,early,3lI,3,5.31,5.32,2.25,Adverb,2,English,NA,3.450980392,0.390831496,3,14-160,early,5,1225,None,,14-160,14-160,1,early,er,Ã_Ì„r,2
rule,5,1225,1225,775,775,rule,rul,3,4.72,4.67,2.57,Noun,4,French (Anglo-Norman),riule,3.5,0.134541281,5,19-310,rule,5,1225,French contact,Coexistence,19-310,19-310,1,rule,welden,wealdan,7
pig,5,1225,1225,775,775,pig,pIg,3,3.84,4.51,5,Noun,2,English,NA,3.450980392,0.390831496,3,3-350,pig,5,1225,None,,3-350,3-350,1,pig,pigge,swiÌ„n,4
clever,5,1220,1220,780,780,clever,klEv@R,6,7.5,4.71,1.79,Adjective,4,English,NA,3.450980392,0.009532476,6,16-840,clever,5,1220,None,,16-840,16-840,1,clever,skilful,crÃ_ftig,7
eyelid,5,1220,1220,780,780,eyelid,2lId,4,6.33,3,5,Noun,2,English,NA,3.450980392,0.324104167,4,4-213,eyelid,5,1220,None,,4-213,4-213,1,eyelid,eie-lid,brÃ_Ì„w,4
beside,5,1205,1205,795,795,beside,bIs2d,5,7.22,4.13,2.59,Preposition,2,English,NA,3.450980392,0.095324755,5,12-020,beside,5,1205,None,,12-020,Dec-20,1,beside,biside-s,be healfe,8
blunt,5,1200,1200,800,800,blunt,blVnt,5,11.05,3.68,3.07,Adjective,6,English,NA,3.450980392,0.095324755,5,15-790,blunt,5,1200,None,,15-790,15-790,1,blunt,blont,aÌ„stynt,6
or,5,1200,1200,800,800,or,$R,2,4.14,6.29,1.72,Conjunction,4,English,NA,3.450980392,0.142987133,2,17-540,or,5,1200,None,,17-540,17-540,1,or,or,oÎ¸Î¸e,4
smell,5,1175,1175,825,825,smell,smEl,4,4.22,4.84,3.7,Verb,2,English,NA,3.450980392,0.324104167,4,15-220,smell,5,1175,None,,15-220,15-220,1,smell,smellen,gestincan,9
without,5,1123,1123,877,877,without,wID6t,5,6.53,5.46,2.15,Preposition,2,English,NA,3.450980392,0.095324755,5,24-030,without,5,1123,None,,,,,,,,
twice,5,1122,1122,878,878,twice,tw2s,4,5.89,4.77,2.93,Adverb,4,English,NA,3.450980392,0.324104167,4,13-380,twice,5,1122,None,,13-380,13-380,1,two times,twies,twaÌ„,3
smooth,5,1050,1050,950,950,smooth,smuD,4,5.61,4.36,3.81,Adjective,4,English,NA,3.450980392,0.324104167,4,15-770,smooth,5,1050,None,,15-770,15-770,1,smooth,smothe,smeÌ„Î¸e,5
dog,5,1050,1050,950,950,dog,dQg,3,2.8,5.17,4.85,Noun,2,English,NA,3.450980392,0.390831496,3,3-610,dog,5,1050,None,,3-610,3-610,1,dog,hound,hund,4
put,5,1050,1050,950,950,put,pUt,3,3.72,5.99,2.5,Verb,2,English,NA,3.450980392,0.390831496,3,12-120,put,5,1050,None,,12-120,12-120,1,put,setten,settan,6
guilty,5,1000,1000,1000,1000,guilty,gIltI,5,8.05,4.57,2.36,Adjective,4,English,NA,3.450980392,0.095324755,5,21-350,guilty,5,1000,None,,21-350,21-350,1,guilty,gilti,scyldig,7
never,5,1000,1000,1000,1000,never,nEv@R,5,5.07,5.89,1.59,Adverb,2,English,NA,3.450980392,0.095324755,5,14-340,never,5,1000,None,,14-340,14-340,1,never,never,nÃ_Ì„fre,5
yes,5,1000,1000,1000,1000,yes,jEs,3,2.31,6.23,2.14,Interjection,2,English,NA,3.450980392,0.390831496,3,17-550,yes,5,1000,None,,17-550,17-550,1,yes,yis,geÌ„a,3
evening,5,1000,1000,1000,1000,evening,ivHIN,5,5.84,5.12,3.26,Noun,2,English,NA,3.450980392,0.095324755,5,14-460,evening,5,1000,None,,14-460,14-460,1,evening,eve-n,Ã_Ì„fen,4
whistle,5,1000,1000,1000,1000,whistle,wIsP,4,5.42,4.25,4.42,Noun,2,English,NA,3.450980392,0.324104167,4,18-170,whistle,5,1000,None,,18-170,18-170,1,whistle,whistlen,hwistlian,9
forehead,5,1000,1000,1000,1000,forehead,fQrId,5,5.58,3.56,4.9,Noun,4,English,NA,3.450980392,0.095324755,5,4-205,forehead,5,1000,None,,4-205,4-205,1,forehead,forhed,foranheÌ„afod,11
earring,5,1000,1000,1000,1000,earring,7rIN,4,7.17,3.07,4.96,Noun,2,English,NA,3.450980392,0.324104167,4,6-770,earring,5,1000,None,,6-770,6-770,1,earring,ere-ring,eÌ„arrhing,8
colt,5,1000,1000,1000,1000,colt,k5lt,4,8.98,3.12,4.96,Noun,2,English,NA,3.450980392,0.324104167,4,3-450,colt,5,1000,None,,3-450,3-450,1,foal,fole,fola,4
sibling,5,1000,1000,1000,1000,sibling,sIblIN,6,7.58,3.19,4.37,Noun,12,English,NA,3.450980392,0.009532476,6,2-456,sibling,5,1000,None,,2-456,2-456,1,sibling,,neÌ„ah sibb(?),8
curse,5,1000,1000,1000,1000,curse,k3s,3,7.47,3.8,2.39,Noun,4,English,NA,3.450980392,0.390831496,3,22-240,curse,5,1000,None,,22-240,22-240,1,curse,cursen,wyrgan,6
butterfly,5,1000,1000,1000,1000,butterfly,bVt@fl2,7,3.67,4.03,4.93,Noun,2,English,NA,3.450980392,0.009532476,7,3-920,butterfly,5,1000,None,,3-920,3-920,1,butterfly,buter-flie,butorfleÌ„oge,11
film,5,1000,1000,1000,1000,film,fIlm,4,6.95,5.26,4.71,Noun,2,English,NA,3.450980392,0.324104167,4,23-620,film,5,1000,None,,,,,,,,
untie,5,1000,1000,1000,1000,untie,Vnt2,4,4.84,3.04,3.89,Verb,2,English,NA,3.450980392,0.324104167,4,9-161,untie,5,1000,None,,9-161,9-161,1,untie,unteien,unbindan,8
bless,5,1000,1000,1000,1000,bless,blEs,4,5.33,4.26,2.68,Verb,2,English,NA,3.450980392,0.324104167,4,22-230,bless,5,1000,None,,22-230,22-230,1,bless,blessen,bleÌ„tsian,8
keep,5,1000,1000,1000,1000,keep,kip,3,4.42,5.72,2.37,Verb,2,English,NA,3.450980392,0.390831496,3,11-170,keep,5,1000,None,,11-170,11-170,1,keep,holden,(ge)healdan,9
pull,5,1000,1000,1000,1000,pull,pUl,3,4.79,4.94,3.97,Verb,2,English,NA,3.450980392,0.390831496,3,9-330,pull,5,1000,None,,9-330,9-330,1,pull,drauen,teÌ„on,4
waterfall,5,992,992,1008,1008,waterfall,w$t@f$l,7,5.47,3.56,4.9,Noun,2,English,NA,3.450980392,0.009532476,7,1-390,waterfall,5,992,None,,1-390,1-390,1,waterfall,water-fal,Î¸eote,5
