English name	Japanese name	SUBTLWF	log SBTLWF	AK	logAK	UkWac	logUK	JpWac	logJP	Length	Syll	Mora	ENoS	JNoS
dresser	たんす	3.6	1.27	869	6.77	1081	6.99	436	6.08	7 2	3	7	1	
eagle	ワシ	11.5	2.44	1304	7.17	4151	8.33	1540	7.34	5	2	2	6	1
elephant	象	11.4	2.43	1732	7.46	7564	8.93	2431	7.80	8	3	2	2	1
exit	出口	15.6	2.75	2061	7.63	28353	10.25	3997	8.29	4	2	3	5	1
fail	失敗	24.6	3.20	14314	9.57	46844	10.75	22422	10.02	4	1	4	11	1
find	見つける	831.0	6.72	12877	9.46	669574	13.41	6568	8.79	4	1	4	18	2
firm	会社	35.3	3.56	121162	11.70	93876	11.45	124291	11.73	4	1	3	14	1
fish	魚	83.5	4.42	7205	8.88	100302	11.52	14341	9.57	4	1	3	6	1
flag	旗	17.5	2.86	3398	8.13	26318	10.18	307	5.73	4	1	2	13	4
flute	フルート	2.1	0.75	610	6.41	5704	8.65	1063	6.97	5	1	4	4	1
fool	バカ	89.3	4.49	1727	7.45	9773	9.19	8887	9.09	4	1	2	7	7
foot	足	64.9	4.17	19920	9.90	72861	11.20	34179	10.44	4	1	2	14	10
fork	フォーク	8.8	2.18	1406	7.25	8845	9.09	2010	7.61	4	1	3	9	2
fox	キツネ	21.6	3.07	867	6.77	8476	9.04	701	6.55	3	1	3	10	2
frog	カエル	11.8	2.47	794	6.68	3595	8.19	2234	7.71	4	1	3	4	1
front	前	181.6	5.20	156283	11.96	203471	12.22	240980	12.39	5	1	2	13	15
fuel	燃料	17.2	2.84	7782	8.96	68646	11.14	11055	9.31	4	1	4	5	1
fund	資金	10.6	2.36	59829	11.00	72473	11.19	30818	10.34	4	1	3	9	1
future	将来	103.5	4.64	35007	10.46	383038	12.86	3582	810.49	6	2	4	7	2
genre	ジャンル	1.1	0.06	1599	7.38	20766	9.94	9316	9.14	5	2	3	4	1
giraffe	キリン	1.5	0.40	891	6.79	975 6	88	893	6.79	7	2	3	1	2
glass	グラス	60.7	4.11	670	6.51	75896	11.24	3578	8.18	5	1	3	12	3
goal	ゴール	16.8	2.82	6455	8.77	98872	11.50	9685	9.18	4	1	3	4	3
goat	ヤギ	10.5	2.35	414	6.03	4710	8.46	889	6.79	4	1	2	4	1
gorilla	ゴリラ	5.6	1.71	348	5.85	1249	7.13	553	6.32	7	3	3	1	1
grapes	ブドウ	3.9	1.37	1281	7.16	4655	8.45	844	6.74	6	1	3	2	1
guitar	ギター	15.6	2.75	1317	7.18	48378	10.79	8290	9.02	6	2	3	1	1
hammock	ハンモック	1.4	0.33	51	3.93	939	6.84	136	4.91	7	2	5	2	1
hanger	ハンガー	1.4	0.30	225	5.42	1138	7.04	464	6.14	6	2	4	2	1
hate	憎む	214.6	5.37	648	6.47	28358	10.25	581	6.36	4	1	3	2	1
head	頭	371.5	5.92	21291	9.97	236151	12.37	57859	10.97	4	1	3	4	9
heart	ハート	244	2 5.50	424	6.05	188643	12.15	3927	8.28	5	1	3	10	3
helicopter	ヘリコプター	15.8	2.76	4902	8.50	10646	9.27	1498	7.31	10	4	6	1	1
helmet	ヘルメット	9.5	2.25	1135	7.03	9128	9.12	1127	7.03	6	2	5	2	2
hope	希望	320.6	5.77	23915	10.08	215310	12.28	31622	10.36	4	1	3	92	
ideal	理想	7.3	1.99	4744	8.46	91640	11.43	13474	9.51	5	2	3	5	1
iron	アイロン	17.9	2.89	406	6.01	42295	10.65	791	6.67	4	2	4	6	1
jar	つぼ	8.3	2.12	730	6.59	6000	8.70	703	6.56	6	2	4	7	6
joint	関節	27.6	3.32	1374	7.23	85612	11.36	5100	8.54	5	1	4	13	1
joke	ジョーク	73.0	4.29	584	6.37	15061	9.62	2129	7.66	4	1	4	6	1
jury	陪審	42.8	3.76	921	6.83	13815	9.53	1917	7.56	4	2	4	2	1
kangaroo	カンガルー	2.3	0.84	106	4.66	1065	6.97	453	6.12	8	3	5	1	1
kick	キック	73.4	4.30	394	5.98	28820	10.27	2206	7.70	4	1	3	14	2
kiss	キス	121.2	4.80	647	6.47	8097	9.00	3627	8.20	4	1	2	6	1
ladder	はしご	9.3	2.22	609	6.41	13413	9.50	614	6.42	6	2	3	4	2
learn	習う	118.6	4.78	2022	7.61	164507	12.01	1022	6.93	5	1	3	6	1
left	左	484.5	6.18	13434	9.51	456491	13.03	21651	9.98	4	1	3	24	6
lemon	レモン	12.0	2.49	84	4.43	8657	9.07	1896	7.55	5	2	3	5	1
lesson	レッスン	32.2	3.47	773	6.65	34865	10.46	7638	8.94	6	2	4	4	2
lion	ライオン	15.4	2.73	757	6.63	8053	8.99	2365	7.77	4	2	4	4	1
lips	唇	31.2	3.44	868	6.77	12390	9.42	3214	8.08	4	1	4	5	1
loan	ローン	19.9	2.99	4079	8.31	64240	11.07	9567	9.17	4	1	3	3	1
lobster	ザリガニ	7.3	1.99	128	4.85	2446	7.80	358	5.88	7	2	4	2	2
local	ローカル	41.7	3.73	477	6.17	807598	13.60	4432	8.40	5	2	4	5	1
loose	緩い	41.8	3.73	874	6.77	29939	10.31	466	6.14	5	1	3	18	6
lucky	ラッキー	143.5	4.97	317	5.76	37067	10.52	3772	8.24	5	2	4	3	1
matter	物事	370.6	5.92	1252	7.13	199009	12.20	6597	8.79	6	2	4	7	1
maze	迷路	2.6	0.94	509	6.23	6095	8.72	951	6.86	4	1	3	2	1
morale	モラル	4.1	1.42	1612	7.39	7057	8.86	2857	7.96	6	2	3	2	1
naked	裸	39.3	3.67	1617	7.39	10531	9.26	3419	8.14	5	2	3	5	4
necklace	ネクレス	9.8	2.28	456	6.12	2095	7.65	732	6.60	8	2	5	1	1
normal	普通	70.4	4.25	7667	8.94	136501	11.82	49509	10.81	6	2	3	5	2
nose	鼻	69.8	4.24	2050	7.63	23573	10.07	10735	9.28	41	2	10	2	
past	過去	123.8	4.82	40726	10.61	288728	12.57	43084	10.67	4	1	2	6	4
peanut	ピーナツ	12.4	2.51	181	5.20	1963	7.58	120	4.79	6	2	5	5	1
pelican	ペリカン	1.8	0.56	95	4.55	614	6.42	176	5.17	7	3	4	1	1
pencil	鉛筆	9.9	2.29	1357	7.21	8138	9.00	1694	7.43	6	2	4	5	1
penguin	ペンギン	2.9	1.06	395	5.98	1597	7.38	1450	7.28	7	2	4	1	1
pig	豚	39.1	3.67	1432	7.27	11464	9.35	5090	8.54	3	1	2	9	2
pipe	パイプ	19.4	2.96	4833	8.48	22290	10.01	2827	7.95	4	1	4	10	4
place	場所	602.7	6.40	26951	10.20	711596	13.48	67227	11.12	5	1	2	30	3
plain	明白	21.8	3.08	515	6.24	38613	10.56	3613	8.19	5	1	4	11	1
pool	プール	47.0	3.85	3298	8.10	65923	11.10	5905	8.68	4	1	3	7	4
prison	刑務所	66.0	4.19	2762	7.92	47075	10.76	4255	8.36	6	2	4	2	1
profit	利益	11.0	2.39	35064	10.46	45239	10.72	32021	10.37	6	2	3	4	2
pyramid	ピラミッド	4.0	1.39	713	6.57	4171	8.34	2057	7.63	7	3	5	7	1
rabbit	ウサギ	20.9	3.04	1535	7.34	10445	9.25	2175	7.68	6	2	3	4	1
race	レース	61.9	4.13	8147	9.01	132707	11.80	10294	9.24	4	1	3	10	2
radio	ラジオ	77.2	4.35	8696	9.07	95220	11.46	13013	9.47	5	3	5	1	
rain	雨	48.9	3.89	12241	9.41	50650	10.83	24566	10.11	4	1	2	4	3
rank	ランク	8.5	2.14	2963	7.99	20069	9.91	4716	8.46	4	1	3	13	1
real	リアル	442.8	6.09	205	5.32	310064	12.64	7644	8.94	4	1	3	13	1
regular	レギュラー	33.9	3.52	867	6.77	141490	11.86	2115	7.66	7	3	5	17	3
release	リリース	36.3	3.59	72	4.28	126790	11.75	10788	9.29	7	2	4	22	2
rental	レンタル	4.8	1.57	1324	7.19	20916	9.95	4584	8.43	6	2	4	4	1
return	リターン	91.7	4.52	185	5.22	243755	12.40	2153	7.67	6	2	4	29	3
ring	指輪	92.8	4.53	1076	6.98	55053	10.92	2219	7.70	4	1	3	15	4
rocket	ロケット	11.8	2.47	3714	8.22	8802	9.08	4432	8.40	6	2	4	7	1
roll	ロール	63.3	4.15	183	5.21	36851	10.51	3265	8.09	4	1	3	33	4
rule	ルール	48.1	3.87	9481	9.16	81760	11.31	19419	9.87	4	1	3	5	1
sailor	水兵	12.4	2.52	239	5.48	3869	8.26	249	5.52	6	2	4	3	1
scale	スケール	9.5	2.25	1023	6.93	100719	11.52	3747	8.23	5	1	4	18	3
scissors	はさみ	6.7	1.90	1369	7.22	2986	8.00	753	6.62	8	2	3	4	3
score	スコア	30.4	3.42	1257	7.14	59974	11.00	4810	8.48	5	1	3	18	2
screen	スクリーン	23.4	3.15	1305	7.17	117693	11.68	5172	8.55	6	5	16	4	
screw	ネジ	37.5	3.62	576	6.36	8785	9.08	1384	7.23	5	1	2	10	2
sense	センス	131.8	4.88	1057	6.96	200193	12.21	5735	8.65	5	1	3	9	2
share	シェア	69.5	4.24	0	NA	165513	12.02	5722	8.65	5	1	2	10	1
shark	サメ	15.0	2.71	457	6.12	4491	8.41	760	6.63	5	2	5	1	
shirt	ワイシャツ	46.4	3.84	697	6.55	14529	9.58	378	5.93	5	1	4	2	1
shock	ショック	28.8	3.36	5825	8.67	30052	10.31	8844	9.09	5	1	3	17	3
show	ショー	488.4	6.19	2643	7.88	375088	12.83	8899	9.09	4	1	3	16	2
shower	シャワー	41.1	3.72	903	6.81	33304	10.41	3608	8.19	6	1	3	11	1
sign	サイン	133.3	4.89	2956	7.99	110620	11.61	7017	8.86	4	1	3	20	2
single	シングル	72.1	4.28	1196	7.09	267442	12.50	4476	8.41	6	2	4	10	9
size	サイズ	46.1	3.83	2164	7.68	190529	12.16	16925	9.74	4	1	3	9	1
ski	スキー	8.1	2.09	5444	8.60	19514	9.88	6912	8.84	3	1	3	2	2
skill	スキル	7.9	2.07	23	3.14	43361	10.68	9451	9.15	5	1	2	7	
skirt	スカート	10.0	2.30	1124	7.02	4414	8.39	2375	7.77	5	1	4	7	2
slipper	スリッパ	2.2	0.80	191	5.25	660	6.49	31	3.43	7	2	4	2	1
slow	スロー	76.0	4.33	107	4.67	62118	11.04	3386	8.13	4	1	3	11	1
smell	香り	83.1	4.42	3540	8.17	19164	9.86	8796	9.08	5	1	3	10	2
snake	ヘビ	22.4	3.11	1211	7.10	6661	8.80	2462	7.81	5	1	2	8	1
snowman	雪だるま	1.9	0.64	357	5.88	469	6.15	382	5.95	7	2	5	1	1
sock	靴下	9.0	2.19	645	6.47	1793	7.49	872	6.77	4	1	4	3	1
solid	固体	19.6	2.97	364	5.90	52114	10.86	4135	8.33	5	2	3	18	1
spoon	スプーン	7.6	2.03	420	6.04	5199	8.56	1426	7.26	5	1	4	5	2
stroke	なでる	13.1	2.57	592	6.38	25763	10.16	174	5.16	6	1	3	16	3
style	スタイル	30.1	3.40	3962	8.28	160463	11.99	16291	9.70	5	1	4	12	3
swan	白鳥	6.8	1.92	793	6.68	2265	7.73	1223	7.11	4	1	4	4	1
tank	戦車	25.6	3.24	3495	8.16	29573	10.29	2679	7.89	4	1	3	7	1
task	タスク	12.7	2.54	12	2.48	94278	11.45	2342	7.76	4	1	3	4	2
telephone	電話	32.4	3.48	61289	11.02	108445	11.59	72126	11.19	9	3	3	2	2
television	テレビ	33.9	3.52	60636	11.01	83184	11.33	52198	10.86	10	4	3	2	1
tent	テント	17.5	2.86	2719	7.91	14763	9.60	2943	7.99	4	1	3	2	1
tiger	トラ	18.5	2.92	1494	7.31	4744	8.46	4731	8.46	5	2	2	2	2
toaster	トースター	3.9	1.36	56	4.03	1520	7.33	189	5.24	7	2	5	2	1
tomato	トマト	5.9	1.77	1785	7.49	7362	8.90	3901	8.27	6	3	3	2	1
tractor	トラクター	3.7	1.32	493	6.20	4219	8.35	611	6.42	7	2	5	2	1
trap	ワナ	23.8	3.17	867	6.77	13950	9.54	540	6.29	4	1	2	16	2
truck	トラック	72.9	4.29	9543	9.16	12650	9.45	109267	11.60	5	1	4	3	1
trumpet	トランペット	4.1	1.42	317	5.76	5276	8.57	773	6.65	7	2	6	4	1
turtle	カメ	17.0	2.84	399	5.99	2867	7.96	3126	8.05	6	2	2	3	1
umbrella	傘	7.5	2.01	1706	7.44	9722	9.18	3470	8.15	8	3	2	4	2
vest	ベスト	5.6	1.72	4736	8.46	2830	7.95	10586	9.27	4	1	3	7	2
view	眺め	38.5	3.65	294	5.68	340159	12.74	10098	9.22	4	1	3	13	1
violin	バイオリン	4.8	1.56	1613	7.39	7773	8.96	1655	7.41	6	3	5	1	1
wake	覚める	105.2	4.66	1023	6.93	20154	9.91	976	6.88	4	1	3	9	4	
warm	暖かい	52.1	3.95	4794	8.48	66980	11.11	3991	8.29	4	1	5	13	6
waste	浪費	53.3	3.97	853	6.75	112286	11.63	1504	7.32	5	1	3	16	1
wolf	オオカミ	20.3	3.01	895	6.80	4996	8.52	1754	7.47	4	1	4	6	2
work	ワーク	798.0	6.68	212	5.36	1615542	14.30	8683	9.07	4	1	3	24	1
youth	ユース	16.8	2.82	520	6.25	65880	11.10	2805	7.94	5	1	3	6	1
zebra	シマウマ	2.5	0.92	74	4.30	1543	7.34	157	5.06	5	2	4	1	1
