Stimuli	AoA	SD		Stimuli	FreqSub	SD
bourse	9.817575083	3.338597993		bourse	3.892857143	0.994029797
bout	6.248053393	2.574481888		bout	3.785714286	1.44932022
box	11.43095238	3.310727947		box	3.928571429	1.358882205
boxe	8.13570634	2.694877658		boxe	4.142857143	1.580302027
braille	9.716351502	2.98562866		braille	3.035714286	0.83808171
braise	8.355951057	2.385890425		braise	3.321428571	1.156417566
branche	5.318131257	1.802029919		branche	3.5	1.03637545
bras	4.21134594	1.707667717		bras	4.178571429	1.306779231
brasse	6.772619048	1.920548293		brasse	3.785714286	1.315354983
brave	9.417130145	2.385439704		brave	4.25	1.578208079
break	11.56618465	3.138727912		break	3.535714286	0.999338405
brèche	11.03214286	2.32453184		brèche	3.392857143	1.065947178
bref	9.03003337	2.591549543		bref	4.75	1.755942292
brève	9.8091133	1.876087534		brève	3.642857143	1.520581899
bride	9.494252874	2.70285381		bride	4.428571429	1.814112811
bridge	11.76500639	2.525242026		bridge	3.178571429	1.188013325
brie	8.956349206	2.93198923		brie	3.071428571	0.71639899
brin	7.964404894	2.960674146		brin	3.357142857	1.471061237
brique	6.926585095	2.232217664		brique	3.678571429	1.278122797
bris	10.9484127	2.884688644		bris	3.357142857	1.253566341
brise	8.884315907	2.652651342		brise	3.107142857	0.916486274
broche	8.066740823	2.143758131		broche	2.892857143	0.875141712
bronche	9.994891443	2.559633594		bronche	3.357142857	1.061595086
bronze	9.216666667	1.700574616		bronze	3.035714286	0.63724772
brosse	5.398809524	2.018591748		brosse	4.214285714	1.52405752
brouille	10.11111111	2.693772495		brouille	3.214285714	1.343217333
brousse	12.45050056	14.29437065		brousse	4.035714286	1.452511053
bruit	4.747497219	1.423308277		bruit	4.178571429	1.492042384
brume	8.994438265	2.31079747		brume	3.535714286	1.400585667
brun	6.952380952	2.643578209		brun	4.821428571	1.467009339
brunch	14.60444444	2.939562151		brunch	3.107142857	1.165532328
brune	6.63403782	2.666801072		brune	4.535714286	1.574851971
brusque	9.102335929	2.469600116		brusque	3.5	1.319371343
brut	9.852057842	2.783206165		brut	3.928571429	1.184109962
brute	8.24137931	2.529822128		brute	3.928571429	0.939998874
bûche	6.849833148	2.523864591		bûche	3.607142857	1.227441957
buée	7.388209121	2.048865409		buée	4.071428571	1.08622934
buffle	8.665183537	3.05716152		buffle	2.642857143	0.678466993
bulbe	10.54171301	2.877424177		bulbe	2.928571429	0.662686532
bulle	5.107897664	1.875134404		bulle	4.25	1.430488132
bus	6.392658509	1.498386229		bus	5.642857143	1.253566341
buste	9.563959956	2.950123015		buste	3.107142857	0.956044541
but	6.845238095	1.881549862		but	5.035714286	1.452511053
butte	9.323809524	2.362542951		butte	3.071428571	1.08622934
ça	4.677419355	1.992458901		ça	6.75	0.844371342
câble	9.744160178	2.012861869		câble	4.071428571	1.015749
cache	5.142380423	2.291170523		cache	4.535714286	1.477789712
cadre	7.854282536	2.667204247		cadre	4.321428571	1.278122797
cage	6.133481646	2.232217664		cage	3.571428571	1.230133128
caille	9.667408231	3.291892942		caille	3.142857143	1.112697281
caisse	6.426028921	1.958713644		caisse	4.428571429	1.259881577
cake	6.958843159	2.561501576		cake	3.821428571	1.055973184
calme	5.857619577	2.140746528		calme	5.142857143	1.177388375
calque	8.174638487	1.82456358		calque	3.392857143	0.875141712
camp	7.625	2.542738139		camp	3.75	1.1426091
cancre	11.52169077	14.55046834		cancre	2.928571429	0.662686532
canne	6.42269188	2.06507049		canne	3.464285714	1.137969044
cap	9.178571429	2.690981106		cap	3.428571429	1.199647214
cape	6.494994438	2.090428777		cape	3.25	1.265642861
câpre	12.06878307	3.296623252		câpre	2.607142857	1.13330999
car	6.31701891	2.242310636		car	5.535714286	1.527092198
carpe	8.560622914	3.539941072		carpe	2.714285714	0.854493259
carte	5.959955506	1.593670275		carte	4.678571429	1.415615857
cas	7.636262514	2.766932232		cas	5.928571429	1.331347728
case	6.561735261	2.383184821		case	4.071428571	1.11980724
cash	12.23804227	1.955417069		cash	3.607142857	1.196887498
casque	6.67185762	2.321938382		casque	3.892857143	0.875141712
casse	6.140155729	2.379572565		casse	4.642857143	1.44566493
cause	8.066740823	3.054346454		cause	5.535714286	1.318869967
cave	6.847608454	2.75407811		cave	3.571428571	0.835710894
ce	5.107897664	1.765256081		ce	6.714285714	0.809990528
cèdre	11.15247253	2.687173137		cèdre	2.821428571	1.278122797
celle	6.957730812	2.512763119		celle	6.071428571	1.537881454
celte	11.13904338	2.822337931		celte	2.714285714	0.896790279
cendre	7.244716352	2.385439704		cendre	3.964285714	1.400585667
cent	6.284760845	1.153768952		cent	4.964285714	1.477789712
centre	7.062291435	1.922140384		centre	4.75	1.377732974
cèpe	8.670745273	3.315003365		cèpe	3.107142857	0.685256682
cercle	6.034482759	1.751190072		cercle	4.142857143	1.297127474
cerf	6.383759733	2.276575432		cerf	3.071428571	1.015749
certes	11.37708565	3.25510352		certes	5.571428571	1.451144412
cesse	8.210233593	2.270900537		cesse	4.321428571	1.44154165
chaîne	7.600667408	2.617558577		chaîne	4.785714286	1.286889528
chair	8.707452725	2.767320819		chair	3.714285714	1.383959506
chaise	4.031145717	1.795454236		chaise	5.5	1.071516751
châle	9.127919911	3.456332819		châle	3.035714286	0.922241346
chambre	3.783092325	1.716460474		chambre	5.785714286	1.133893419
champ	5.637374861	1.805010946		champ	3.964285714	1.261455446
chance	6.429365962	1.929399037		chance	5.071428571	1.11980724
change	6.244716352	2.314517066		change	5.5	1.201850425
chant	6.104560623	2.167700332		chant	4.428571429	1.168366109
chaque	6.510714286	1.950243132		chaque	6.642857143	0.9893614
char	8.380422692	2.76265417		char	2.785714286	0.686221153
charge	9.404761905	2.564120248		charge	4.321428571	1.389206313
charme	9.350389321	2.192362108		charme	4.428571429	1.317364693
charte	12.79948914	2.732309873		charte	2.964285714	0.922241346
chasse	6.245828699	2.109374876		chasse	3.571428571	1.103146054
chaste	12.5294772	2.775468574		chaste	2.714285714	0.937180281
chat	3.819799778	1.453952714		chat	5.25	1.530553035
chaud	4.033370412	1.328755582		chaud	5.357142857	1.12921755
chauffe	6.328571429	2.107458021		chauffe	4.714285714	1.410467295
chaume	10.60791826	2.212258726		chaume	2.75	1.040833
chauve	6.669632925	2.553092159		chauve	3.5	1
chaux	11.72286079	2.613436294		chaux	2.75	0.645497224
chef	6.389321468	1.81095828		chef	4.464285714	1.426784597
chêne	7.561735261	3.013232466		chêne	3.285714286	1.11744228
chèque	9.27919911	2.196282294		chèque	4.785714286	0.994694923
cher	6.513904338	15.06287896		cher	5.392857143	1.257254084
chèvre	4.993325918	1.869391253		chèvre	3.75	1.1426091
chez	5.21134594	1.454692075		chez	6.392857143	0.875141712
chic	9.240266963	2.549298871		chic	4.142857143	1.458418365
chien	3.571746385	1.258946479		chien	4.928571429	1.274495439
chiffre	5.206896552	1.770122406		chiffre	5.428571429	1.168366109
chine	9.038314176	2.456518422		chine	3.607142857	1.100144291
chiot	6.172413793	2.175622516		chiot	3.75	1.530553035
chips	5.604004449	1.546414514		chips	4.142857143	1.268252975
chique	12.10217114	2.400225769		chique	3.428571429	1.372442306
chlore	9.606229143	2.486955214		chlore	3.285714286	0.809990528
choc	7.743047831	2.218688947		choc	4.607142857	1.286375491
choeur	10.06451613	2.578655147		choeur	3.321428571	1.123933945
choix	6.961067853	2.202149488		choix	5.785714286	1.100745298
chope	11.06451613	3.913582634		chope	3.714285714	1.383959506
chose	5.353726363	1.652629056		chose	5.928571429	1.214985793
chou	5.992213571	2.15576247		chou	3.714285714	0.937180281
chouette	6.27919911	2.467857893		chouette	4.071428571	1.303231637
christ	8.953281424	2.122080537		christ	3.107142857	1.100144291
chrome	12.28809524	2.180372213		chrome	2.75	1.004618962
chute	6.780867631	2.627399057		chute	4.071428571	1.331347728
cible	7.706340378	2.063507818		cible	3.964285714	1.170063083
cidre	9.858731924	2.426998678		cidre	3.107142857	0.628890011
ciel	5.349276974	5.457361606		ciel	4.964285714	1.318869967
cierge	8.886540601	2.597351836		cierge	2.857142857	0.755928946
cil	6.637374861	2.063507818		cil	4.142857143	1.044005311
cime	9.325	2.916658456		cime	3.178571429	1.218790275
cinq	4.352614016	1.257237114		cinq	5.035714286	1.477789712
cintre	7.508333333	2.555363977		cintre	3.892857143	1.13330999
cire	8.562847608	2.749388984		cire	3.321428571	1.055973184
cirque	5.245828699	2.140746528		cirque	3.285714286	1.049061057
clair	6.740823137	2.321938382		clair	5.285714286	1.329359157
clan	9.245828699	3.293852208		clan	3.857142857	1.380131119
claque	5.288097887	1.889415908		claque	3.928571429	1.358882205
classe	4.921023359	1.865360526		classe	5.464285714	1.346659595
clause	12.7753059	3.009661861		clause	3.035714286	1.07089934
clé	5.285873192	1.465003945		clé	6	1.154700538
clerc	12.24694105	2.841323332		clerc	2.642857143	1.12921755
clic	8	2.791613055		clic	4.785714286	1.685606669
clip	10.41935484	2.31079747		clip	4.714285714	1.356933986
clique	9.735714286	3.024041598		clique	4.178571429	1.785820103
cloche	6.102335929	2.228360697		cloche	3.642857143	1.12921755
cloître	11.60280971	2.80174119		cloître	2.785714286	1.166099635
clone	12.67408231	2.942093469		clone	3.357142857	1.061595086
clope	10.567297	2.766932232		clope	5.75	1.294575578
cloque	9.148809524	3.052227376		cloque	3.035714286	0.999338405
clos	9.586904762	2.595531084		clos	3.5	1.201850425
clou	6.599555061	2.07649415		clou	3.607142857	0.994029797
clown	5.527252503	5.286420014		clown	3.392857143	0.994029797
club	8.493882091	1.989758725		club	4.178571429	1.188013325
coche	9.795657727	3.301738608		coche	3.25	1.109721353
code	8.071190211	1.931070236		code	4.428571429	1.230133128
coeur	5.494994438	2.18400835		coeur	5.25	1.481365736
coffre	6.13570634	2.434960422		coffre	3.785714286	0.994694923
coiffe	9.313681869	2.947935308		coiffe	3.571428571	1.345185418
coin	5.492769744	2.340848114		coin	4.428571429	1.372442306
coing	8.924450549	2.70092087		coing	2.964285714	1.035737092
col	7.52836485	2.612624438		col	4.035714286	1.452511053
colle	5.706340378	1.981093431		colle	4.571428571	1.168366109
comble	11.06785714	2.6437956		comble	3.357142857	1.223664373
comme	5.283648498	1.606438658		comme	6.75	0.645497224
compte	7.501668521	2.942093469		compte	5.107142857	1.196887498
comte	9.548809524	3.045441289		comte	3.214285714	1.066567456
cône	8.954393771	3.123962193		cône	3.321428571	0.904866326
conte	5.419354839	2.450806319		conte	3.571428571	1.168366109
contre	6.491698595	2.015946281		contre	5.75	1.377732974
coq	4.209121246	1.69185271		coq	3.285714286	0.975900073
coque	8.140155729	2.862813114		coque	3.392857143	1.196887498
corde	5.731800766	1.724925928		corde	4	1.088662108
corne	6.562847608	2.725033294		corne	3.107142857	0.875141712
corps	5.529477197	1.941621094		corps	5.178571429	1.362284884
cote	8.531289911	2.662918137		cote	4.107142857	1.314852075
côte	7.812013348	2.378216554		côte	4.428571429	1.259881577
cou	4.536151279	1.689944963		cou	4.607142857	1.13330999
couche	4.958843159	2.151268693		couche	4.464285714	1.666269794
coude	5.282758621	1.471569652		coude	4.464285714	1.231745009
coudre	7.097886541	2.395784829		coudre	3.535714286	0.961562881
couette	6.807142857	2.895894835		couette	5.5	1.232281834
coup	5.604004449	1.524706917		coup	4.892857143	1.39680285
coupe	6.957730812	2.044662603		coupe	4.428571429	1.288943622
couple	8.210714286	2.482351499		couple	5.214285714	1.19743995
cour	5.703571429	2.437494474		cour	4.5	1.527525232
courbe	8.953281424	2.402060048		courbe	3.75	1.075828707
courge	9.918798665	3.545404416		courge	2.857142857	0.84827868
cours	8.499443826	2.293046994		cours	6.678571429	0.669636243
course	5.708565072	1.997310019		course	4.535714286	1.231745009
court	5.993325918	2.301004923		court	5.357142857	1.223664373
coût	9.208008899	2.639240686		coût	4.75	1.294575578
crabe	5.816462736	1.739484536		crabe	3.285714286	1.049061057
craie	7.483870968	11.04983822		craie	3.571428571	1.03381965
craindre	12.40934372	20.54870951		craindre	4.285714286	1.560084111
crainte	9.103448276	2.366431913		crainte	4.178571429	1.218790275
crampe	9.919047619	2.14850924		crampe	3.964285714	1.035737092
cran	9.42269188	2.839809171		cran	3.392857143	0.994029797
crâne	7.312569522	2.542118328		crâne	4.142857143	1.078898125
crasse	7.716351502	2.836778424		crasse	3.714285714	1.242969648
crèche	7.026696329	2.642091058		crèche	3.642857143	1.061595086
crème	6.216666667	1.507071454		crème	4.821428571	1.218790275
crêpe	4.964404894	1.538047918		crêpe	3.857142857	0.890870806
crête	8.997775306	2.528971911		crête	3.321428571	1.055973184
creux	7.552380952	2.2550072		creux	3.892857143	1.39680285
cri	4.816462736	1.79605302		cri	4.571428571	1.259881577
crible	12.74367816	2.344227442		crible	3.071428571	1.214985793
crime	9.42269188	2.449050727		crime	4.214285714	1.19743995
crique	11.70411568	2.741948134		crique	2.857142857	0.931517508
crise	8.350389321	2.967566615		crise	4.642857143	1.223664373
croc	7.745272525	2.551828356		croc	3.285714286	1.329359157
croire	6.278086763	2.421232246		croire	5.357142857	1.471061237
croître	11.03448276	2.620432534		croître	3.678571429	1.467009339
croix	5.815350389	2.259032051		croix	3.142857143	1.297127474
crosse	11.11401099	2.781980947		crosse	2.75	1.075828707
croupe	10.03703704	3.807699502		croupe	3.321428571	1.248808956
croûte	6.493882091	2.468293564		croûte	3.392857143	0.737326789
cru	7.108333333	2.092405534		cru	4.392857143	1.448863813
cruche	8.477380952	2.281610643		cruche	3.428571429	1.372442306
crue	9.955952381	3.036369581		crue	3.321428571	1.020296668
crypte	11.67519466	2.377312117		crypte	2.535714286	0.881166855
cube	5.17352614	2.639240686		cube	3.75	0.751541625
cuir	8.424916574	2.481761428		cuir	4.142857143	1.112697281
cuisse	5.248053393	2.088370255		cuisse	4.785714286	1.370513363
cuit	6.208008899	2.258079877		cuit	5.142857143	1.508354161
cuivre	10.17797553	1.984889152		cuivre	3.142857143	0.890870806
culte	10.81646274	2.508480241		culte	3.821428571	1.188013325
cure	9.547619048	3.122038827		cure	3.464285714	0.961562881
cuve	9.779755284	2.108355115		cuve	3.178571429	1.055973184
cycle	10.10119048	2.335384977		cycle	3.857142857	1.268252975
cygne	6.216666667	2.14850924		cygne	3.071428571	1.015749
daim	9.498331479	2.975888771		daim	2.892857143	1.13330999
dalle	10.70856507	2.907905428		dalle	3.678571429	1.492042384
dame	5.176863181	2.061422413		dame	4.642857143	1.520581899
dans	4.887652948	1.94880719		dans	6.75	0.645497224
danse	5.209121246	1.82456358		danse	4.5	1.170628195
date	5.998887653	1.42557289		date	5.75	1.205696356
datte	9.345939933	3.209193782		datte	3	0.981306763
de	4.816462736	1.92158089		de	6.892857143	0.56694671
dé	5.427141268	1.646762872		dé	4.428571429	1.619981057
dent	4.06785317	1.622423516		dent	5.357142857	1.339272487
des	4.644048943	1.557500065		des	6.928571429	0.377964473
dès	8.165739711	2.495587504		dès	6.214285714	1.257780021
dette	10.47738095	2.235810943		dette	3.571428571	1.103146054
deuil	10.25238095	2.531638877		deuil	3.035714286	0.792658109
deux	3.639599555	1.178663358		deux	5.857142857	1.325373063
diable	7.314794216	1.99569429		diable	3.357142857	1.026114055
diète	11.38375973	2.539579171		diète	3.535714286	1.07089934
dieu	7.282536151	1.661713069		dieu	4	1.387777333
digne	10.44404762	2.079179768		digne	3.75	1.350582865
dinde	6.846496107	2.540849066		dinde	3.892857143	1.342724861
diode	12.81646274	1.85089342		diode	2.75	0.967049733
dire	4.663095238	2.045741301		dire	6.321428571	0.904866326
disque	7.204671858	2.293984654		disque	5	1.539600718
dit	4.355951057	1.535949148		dit	6.642857143	0.678466993
dix	4.352614016	1.430843048		dix	5.392857143	1.547741143
do	7.75083426	2.108865057		do	3.5	1.503083251
dogme	14.9010989	3.023715784		dogme	2.964285714	0.961562881
doigt	3.711902113	1.450250256		doigt	5.678571429	0.944911183
dôme	10.77864294	2.813943775		dôme	3.464285714	1.55115591
don	9.243604004	2.619611725		don	4.107142857	1.39680285
donc	6.78865406	1.927726389		donc	6.821428571	0.475594866
donne	4.337164751	2.058862855		donne	5.964285714	1.346659595
dont	7.954393771	2.441134938		dont	6.321428571	0.944911183
dos	4.781979978	2.071828448		dos	5.142857143	1.268252975
dose	8.817575083	2.465678384		dose	4.214285714	0.917207633
douane	11.17130145	2.483060893		douane	3.214285714	0.917207633
double	7.351501669	2.166708023		double	4.857142857	1.177388375
douche	4.674082314	1.386571543		douche	6.107142857	0.831744517
doué	8.390433815	2.022986188		doué	4.642857143	1.471061237
douille	11.71301446	3.515556824		douille	3.035714286	0.922241346
doute	8.804761905	2.687561814		doute	5.107142857	1.286375491
doux	5.14349277	2.20751405		doux	4.642857143	1.161553421
douze	5.032258065	1.263209771		douze	4.892857143	1.499117906
drame	9.033333333	2.839783058		drame	3.964285714	1.07089934
drap	8.207142857	13.22588893		drap	4.928571429	1.358882205
drogue	10.91546162	2.218688947		drogue	4.285714286	1.181873681
droit	6.810901001	2.669219208		droit	5.5	1.374368542
droite	5.705228031	1.728943987		droite	6.178571429	0.983326607
drôle	6.243604004	2.462187156		drôle	5.285714286	1.301200097
druide	8.741935484	2.501612383		druide	2.785714286	0.832539304
du	5.0756396	1.833382209		du	6.464285714	1.231745009
dû	9.84047619	2.968028875		dû	4.678571429	1.634207735
duc	9.955300128	2.554817723		duc	2.821428571	1.123933945
duel	9.027808676	2.072347378		duel	3.392857143	0.737326789
dune	8.745272525	2.403849959		dune	2.785714286	0.738223235
duo	9.438095238	1.837039097		duo	4	1.276569477
dupe	15.12013348	20.08626557		dupe	3.321428571	0.944911183
dur	5.21547619	2.008316044		dur	5.5	1.452966315
eau	3.640711902	1.118755068		eau	6.678571429	0.818923025
elfe	10.51547619	2.750339582		elfe	2.892857143	0.831744517
elle	4.426028921	1.517638233		elle	6.928571429	0.262265264
en	5.532814238	1.929399037		en	6.857142857	0.356348323
encre	6.494994438	1.539445508		encre	4.5	1.261979632
entre	5.586904762	1.941974348		entre	6.464285714	0.692934867
est	5.335714286	1.868061876		est	6.535714286	1.318869967
et	3.997775306	1.69185271		et	6.964285714	0.188982237
être	5.784204672	2.048865409		être	6.464285714	0.83808171
eux	5.886904762	2.001436266		eux	6.321428571	0.983326607
fa	8.002298851	2.116166562		fa	2.892857143	1.13330999
fable	7.174638487	2.159251165		fable	3.25	0.887151079
fac	12.81423804	2.108355115		fac	6.464285714	0.881166855
face	7.031145717	1.938295449		face	5.214285714	1.166099635
fade	10.53058954	2.764988479		fade	3.714285714	0.975900073
faible	7.472619048	2.254242488		faible	4.75	1.350582865
faille	10.88214286	2.588435821		faille	3.428571429	1.317364693
faim	4.244716352	1.738866273		faim	6.607142857	0.875141712
faire	4.853170189	1.896799795		faire	6.428571429	1.168366109
fait	5.815350389	2.690085341		fait	6.535714286	0.881166855
fan	9.777011494	2.080008842		fan	4.678571429	1.540888907
faon	6.670745273	2.173149936		faon	2.678571429	0.862965234
farce	6.890989989	2.267109381		farce	3.5	0.745355992
fard	10.91502463	2.305487136		fard	3.428571429	1.525792361
faune	9.492769744	2.979860717		faune	3.071428571	0.899735411
faute	5.711902113	1.141589158		faute	5.357142857	1.19301317
fauve	8.397619048	2.609443504		fauve	2.928571429	0.857583661
fax	11.63626251	2.392191599		fax	3.75	1.322875656
fée	4.994438265	1.655229575		fée	3.25	1.040833
feindre	12.13809524	2.921186973		feindre	2.857142857	1.044005311
feinte	11.06340378	2.557300324		feinte	3.464285714	1.261455446
femme	5.459399333	1.700727232		femme	5.857142857	1.325373063
fendre	9.846496107	2.884888325		fendre	3.5	1.138550085
fente	8.457174638	2.337630452		fente	3.535714286	1.137969044
fer	7.180200222	2.578238125		fer	3.75	1.004618962
ferme	5.028921023	2.237510137		ferme	4.357142857	1.725930468
fête	5.824249166	2.022454593		fête	5.035714286	1.231745009
feu	4.852057842	1.773763389		feu	4.714285714	1.329359157
feuille	4.781979978	1.557500065		feuille	5.821428571	1.020296668
feutre	4.518353726	9.203201874		feutre	4.107142857	1.065947178
fiable	11.27697442	2.483060893		fiable	4.107142857	1.030615987
fibre	11.2458287	1.978921179		fibre	4.035714286	1.346659595
fiche	7.959955506	2.31079747		fiche	5.25	1.456149158
fier	8.139043382	2.42877021		fier	4.5	1.261979632
fièvre	6.36547619	1.715715058		fièvre	3.607142857	1.165532328
figue	9.312569522	2.594037829		figue	3.214285714	1.031257516
fil	5.708565072	1.785846385		fil	4.464285714	1.318869967
file	7.385984427	2.561501576		file	4.214285714	1.257780021
fille	3.998887653	1.378014779		fille	5.892857143	1.030615987
film	5.707452725	1.895098375		film	5.392857143	1.448863813
fils	5.641824249	1.646762872		fils	5.178571429	1.123933945
filtre	9.098998888	2.445975408		filtre	4	1.088662108
fin	5.212458287	1.439832726		fin	5.392857143	1.342724861
fiole	10.61785714	2.628097516		fiole	2.678571429	0.669636243
firme	13.10122358	3.151036696		firme	3.214285714	1.100745298
fisc	14.05952381	2.617360257		fisc	3.035714286	1.035737092
fixe	8.402380952	2.211776214		fixe	4.678571429	1.278122797
flair	9.350389321	2.491275098		flair	3.357142857	0.9893614
flamme	6.206896552	2.265686062		flamme	3.964285714	1.137969044
flan	6.857619577	2.883769934		flan	3.535714286	0.999338405
flanc	9.958843159	3.487304163		flanc	3.321428571	0.862965234
flaque	5.463848721	2.218688947		flaque	3.785714286	0.875897121
flash	8.640711902	2.526845115		flash	4.071428571	1.11980724
flasque	11.72030651	3.180141584		flasque	3.214285714	1.100745298
flèche	6.213095238	2.341283664		flèche	3.428571429	0.920087412
