name|name|relation|certain|name|name
caméléon|French|immediate|t|kameleon|Dutch
camera|Latin|immediate|t|kamer|Dutch
camp|French (Picard)|immediate|t|kamp|Dutch
kangaroo|English|immediate|t|kangoeroe|Dutch
canoa|Spanish|immediate|t|kano|Dutch
cantus|Latin|immediate|t|kant|Dutch
kaputt|High German|immediate|t|kapot|Dutch
carrus|Latin|immediate|t|kar|Dutch
caribou|French|immediate|t|kariboe|Dutch
catta|Latin|immediate|t|kat|Dutch
catapulte|French|immediate|t|katapult|Dutch
coton|French|immediate|t|katoen|Dutch
kuri(a)kon|Greek|immediate|t|kerk|Dutch
catillus|Latin|immediate|t|ketel|Dutch
catēna|Latin|immediate|t|keten|Dutch
cocina|Latin|immediate|t|keuken|Dutch
clārus|Latin|immediate|t|klaar|Dutch
petite-fille|French|immediate|t|kleindochter|Dutch
petit-enfant|French|immediate|t|kleinkind|Dutch
petit-fils|French|immediate|t|kleinzoon|Dutch
couleur|French|immediate|t|kleur|Dutch
cloc|Old Irish|immediate|t|klok|Dutch
kahve|Turkish|immediate|t|koffie|Dutch
cocere|Latin|immediate|t|koken|Dutch
conin|French|immediate|t|konijn|Dutch
cuppa|Latin|immediate|t|kop|Dutch
caupō|Latin|immediate|t|kopen|Dutch
cyprum|Latin|immediate|t|koper|Dutch
curtus|Latin|immediate|t|kort|Dutch
cauce|French (Picard)|immediate|t|kous|Dutch
coral|French|immediate|t|kraal|Dutch
courant|French|immediate|t|krant|Dutch
crocodile|French|immediate|t|krokodil|Dutch
cruce|Latin|immediate|t|kruis|Dutch
cussin|French|immediate|t|kussen (1)|Dutch
lagune|French|immediate|t|lagune|Dutch
lampe|French|immediate|t|lamp|Dutch
langsam|High German|immediate|t|langzaam|Dutch
larix|Latin|immediate|t|lariks|Dutch
lasso|English|immediate|t|lasso|Dutch
leō|Latin|immediate|t|leeuw|Dutch
*loudiom|Celtic|immediate|t|lood|Dutch
lucifer|English|immediate|t|lucifer|Dutch
lunch|English|immediate|t|lunch|Dutch
diês Lûnae|Latin|immediate|t|maandag|Dutch
machine|French|immediate|t|machine|Dutch
maiz|Spanish|immediate|t|maïs|Dutch
manière|French|immediate|t|manier|Dutch
manioc|French|immediate|t|maniok|Dutch
mantellum|Latin|immediate|t|mantel|Dutch
mercātus|Latin|immediate|t|markt|Dutch
matta|Latin|immediate|t|mat|Dutch
materas|French|immediate|t|matras|Dutch
Mitleid|High German|immediate|t|medelijden|Dutch
medicīna|Latin|immediate|t|medicijn|Dutch
maistre|French|immediate|t|meester|Dutch
macio|Latin|immediate|t|metselaar|Dutch
ministre|French|immediate|t|minister|Dutch
marasc|French (Picard)|immediate|t|moeras|Dutch
molina|Latin|immediate|t|molen|Dutch
mortarium|Latin|immediate|t|mortel|Dutch
mosquée|French|immediate|t|moskee|Dutch
motor|Latin|immediate|t|motor|Dutch
monēta|Latin|immediate|t|munt|Dutch
mosquito|Spanish|immediate|t|muskiet|Dutch
almucia|Latin|immediate|t|muts|Dutch
murus|Latin|immediate|t|muur|Dutch
musique|French|immediate|t|muziek|Dutch
Niederlage|High German|immediate|t|nederlaag|Dutch
aurora borealis|Latin|immediate|t|noorderlicht|Dutch
nulla|Italian|immediate|t|nul|Dutch
océan|French|immediate|t|oceaan|Dutch
offerre|Latin|immediate|t|offer|Dutch
olium|Latin|immediate|t|olie|Dutch
olifant|French|immediate|t|olifant|Dutch
olīva|Latin|immediate|t|olijf|Dutch
augustus|Latin|immediate|t|oogst|Dutch
Ursache|High German|immediate|t|oorzaak|Dutch
opossum|English|immediate|t|opossum|Dutch
outrigger|English|immediate|t|outrigger|Dutch
pālus|Latin|immediate|t|paal|Dutch
par|Latin|immediate|t|paar|Dutch
paraveredus|Latin|immediate|t|paard|Dutch
palme, palma|French|immediate|t|palm (1)|Dutch
palma|Latin|immediate|t|palm (2)|Dutch
panna|Latin|immediate|t|pan|Dutch
papegai|French|immediate|t|papegaai|Dutch
papier|French|immediate|t|papier|Dutch
Pech|High German|immediate|t|pech|Dutch
paddle|English|immediate|t|peddel|Dutch
pellis|Latin|immediate|t|pellen|Dutch
penna|Latin|immediate|t|pen|Dutch
pēnis|Latin|immediate|t|penis|Dutch
piper|Latin|immediate|t|peper|Dutch
persona|Latin|immediate|t|persoon|Dutch
pilum|Latin|immediate|t|pijl|Dutch
pena, poena|Latin|immediate|t|pijn|Dutch
*pipa|Romance|immediate|t|pijp|Dutch
pillula|Latin|immediate|t|pil|Dutch
pinna|Latin|immediate|t|pin|Dutch
pissier|French|immediate|t|pissen|Dutch
place|French|immediate|t|plaats|Dutch
planke|French (Picard)|immediate|t|plank|Dutch
planta|Latin|immediate|t|plant|Dutch
plantare|Latin|immediate|t|planten|Dutch
plastic|English|immediate|t|plastic|Dutch
plat|French|immediate|t|plat|Dutch
police|French|immediate|t|politie|Dutch
pulsus|Latin|immediate|t|pols|Dutch
pompon|French|immediate|t|pompoen|Dutch
poncho|Spanish|immediate|t|poncho|Dutch
porta|Latin|immediate|t|poort|Dutch
postis|Latin|immediate|t|post (1)|Dutch
poste|French|immediate|t|post (2)|Dutch
*pottus|Romance|immediate|t|pot|Dutch
praedicâre|Latin|immediate|t|preken|Dutch
président|French|immediate|t|president|Dutch
*prestre|Latin|immediate|t|priester|Dutch
pris|French|immediate|t|prijs|Dutch
probare|Latin|immediate|t|proberen|Dutch
prover|French|immediate|t|proeven|Dutch
prostituée|French|immediate|t|prostituee|Dutch
pūs|Latin|immediate|t|pus|Dutch
radio|English|immediate|t|radio|Dutch
regere|Latin|immediate|t|regeren|Dutch
Rentier|High German|immediate|t|rendier|Dutch
reste|French|immediate|t|resten|Dutch
remus|Latin|immediate|t|riem|Dutch
rif|Old Norse|immediate|t|rif|Dutch
*riks|Celtic|immediate|t|rijk|Dutch
ris|French|immediate|t|rijst|Dutch
riviere|French|immediate|t|rivier|Dutch
rŭžĭ|Old Slavic|immediate|t|rogge|Dutch
rouler|French|immediate|t|rollen|Dutch
rond|French|immediate|t|rond|Dutch
rose|French|immediate|t|roos|Dutch
roch|French (Picard)|immediate|t|rots|Dutch
spina dorsi|Latin|immediate|t|ruggengraat|Dutch
salarium|Latin|immediate|t|salaris|Dutch
savanne|French|immediate|t|savanne|Dutch
schola|Latin|immediate|t|school|Dutch
beau-frère|French|immediate|t|schoonbroer|Dutch
belle-fille|French|immediate|t|schoondochter|Dutch
beau-enfant|French|immediate|t|schoonkind|Dutch
belle-mère|French|immediate|t|schoonmoeder|Dutch
beaux-parents|French|immediate|t|schoonouders|Dutch
beau-père|French|immediate|t|schoonvader|Dutch
beau-fils|French|immediate|t|schoonzoon|Dutch
belle-sœur|French|immediate|t|schoonzuster|Dutch
scorpion|French|immediate|t|schorpioen|Dutch
scutella|Latin|immediate|t|schotel|Dutch
scribere|Latin|immediate|t|schrijven|Dutch
escroue|French|immediate|t|schroef|Dutch
saison|French|immediate|t|seizoen|Dutch
have sex|English|immediate|t|seks hebben|Dutch
Zierat|High German|immediate|t|sieraad|Dutch
cigarette|French|immediate|t|sigaret|Dutch
sintel|High German|immediate|t|sintel|Dutch
sclavus|Latin|immediate|t|slaaf|Dutch
clavicula|Latin|immediate|t|sleutelbeen|Dutch
Schleier|High German|immediate|t|sluier|Dutch
soupe|French|immediate|t|soep|Dutch
Socke|High German|immediate|t|sok|Dutch
soldat|French|immediate|t|soldaat|Dutch
sorghum|Latin|immediate|t|sorghum|Dutch
species|Latin|immediate|t|specie|Dutch
spinula|Latin|immediate|t|speld|Dutch
speglum|Latin|immediate|t|spiegel|Dutch
Spindel|High German|immediate|t|spindel|Dutch
Spitze|High German|immediate|t|spits|Dutch
estophe|French|immediate|t|stof (2)|Dutch
stottern|High German|immediate|t|stotteren|Dutch
(via) strāta|Latin|immediate|t|straat|Dutch
Strafe|High German|immediate|t|straf|Dutch
studēre|Latin|immediate|t|studeren|Dutch
sucre|French|immediate|t|suiker|Dutch
tabaco|Spanish|immediate|t|tabak|Dutch
tabula|Latin|immediate|t|tafel|Dutch
tante|French|immediate|t|tante|Dutch
tapit|French|immediate|t|tapijt|Dutch
tapir|Spanish|immediate|f|tapir|Dutch
tapir|Portuguese|immediate|f|tapir|Dutch
téléphone|French|immediate|t|telefoon|Dutch
television|English|immediate|t|televisie|Dutch
templum|Latin|immediate|t|tempel|Dutch
tente|French|immediate|t|tent|Dutch
termite|French|immediate|t|termiet|Dutch
testiculus|Latin|immediate|t|testikels|Dutch
tê|Hokkien|immediate|t|thee|Dutch
tucán|Spanish|immediate|t|toekan|Dutch
toilette|French|immediate|t|toilet|Dutch
turrem|Latin|immediate|t|toren|Dutch
tractare|Latin|immediate|t|trachten|Dutch
train|English|immediate|t|trein|Dutch
trum(m)e|High German|immediate|t|trom|Dutch
Trommel|High German|immediate|t|trommel|Dutch
trompette|French|immediate|t|trompet|Dutch
trotz|High German|immediate|t|trots|Dutch
(h)ore|French|immediate|t|uur|Dutch
patria|Latin|immediate|t|vaderland|Dutch
vagina|Latin|immediate|t|vagina|Dutch
vallée|French|immediate|t|vallei|Dutch
terraferma/Festland|Italian|immediate|f|vasteland|Dutch
terraferma/Festland|High German|immediate|f|vasteland|Dutch
fenestra|Latin|immediate|t|venster|Dutch
verwant|High German|immediate|t|verwanten|Dutch
versammeln|High German|immediate|t|verzamelen|Dutch
figes|French|immediate|t|vijg|Dutch
flamme|French|immediate|t|vlam|Dutch
furca|Latin|immediate|t|vork|Dutch
Fremdling|High German|immediate|t|vreemdeling|Dutch
dies Veneris|Latin|immediate|t|vrijdag|Dutch
vulva|Latin|immediate|t|vulva|Dutch
WC|English|immediate|t|wc|Dutch
vīnum|Latin|immediate|t|wijn|Dutch
wickeln|High German|immediate|t|wikkelen|Dutch
dies Mercurii|Latin|immediate|t|woensdag|Dutch
yam|English|immediate|t|yam|Dutch
saccus|Latin|immediate|t|zak|Dutch
dies Saturni|Latin|immediate|t|zaterdag|Dutch
signare|Latin|immediate|t|zegenen|Dutch
secūrus|Latin|immediate|t|zeker|Dutch
se haster|French|immediate|t|zich haasten|Dutch
sich erinnern|High German|immediate|t|zich herinneren|Dutch
*seda|Romance|immediate|t|zijde|Dutch
arpu|Akkadian|immediate|t|zilver|Dutch
diês sôlis|Latin|immediate|t|zondag|Dutch
accusare|Latin|earlier|t|accuse|English
accuser|French|immediate|t|accuse|English
aquiter|Old French|immediate|t|acquit|English
*acquitāre|Latin|earlier|t|acquit|English
*ad + dīrectus|Latin|earlier|t|address|English
adresse|French|immediate|t|address|English
adiudicāre|Latin|immediate|t|adjudicate|English
admittere|Latin|earlier|t|admit|English
admettre|French|immediate|t|admit|English
ţob|Coptic|earlier|t|adobe|English
adobar|Spanish|immediate|t|adobe|English
avouterie|Old French|immediate|t|adultery|English
adulter|Latin|earlier|t|adultery|English
aēr + plānus|Latin|immediate|t|aeroplane|English
aevum|Latin|earlier|t|age|English
âge|French|immediate|t|age|English
air|French|immediate|t|air|English
aēr|Greek|earlier|t|air|English
al-koħl|Arabic|earlier|t|alcohol|English
alcool|French|immediate|t|alcohol|English
el lagarto|Spanish|immediate|t|alligator|English
alouer|Old French|immediate|t|allow|English
allocāre, allaudāre|Latin|earlier|t|allow|English
altāre|Latin|immediate|t|altar|English
embusche|Old French|immediate|t|ambush|English
*imboscāre|Late Latin|earlier|t|ambush|English
antecēssor, -em|Latin|earlier|t|ancestor|English
ancestre|French (Anglo-Norman)|immediate|t|ancestor|English
anchora|Latin|immediate|t|anchor|English
ánkūra|Greek|earlier|t|anchor|English
angr|Old Norse|immediate|t|anger|English
animālis|Latin|immediate|t|animal|English
annunciāre|Latin|earlier|t|announce|English
anoncer|French (Anglo-Norman)|immediate|t|announce|English
anxietā-s, -tem|Latin|immediate|t|anxiety|English
aprochier|French (Anglo-Norman)|immediate|t|approach|English
appropiāre|Vulgar Latin|earlier|t|approach|English
arcum|Latin|earlier|t|arch|English
arche|French|immediate|t|arch|English
armātūra|Late Latin|earlier|t|armour|English
armure|French (Anglo-Norman)|immediate|t|armour|English
put(t)eus|Latin|immediate|t|armpit|English
armāta|Latin|earlier|t|army|English
armée|French|immediate|t|army|English
*adrīpāre|Latin|earlier|t|arrive|English
arriver|French|immediate|t|arrive|English
arson|French|immediate|t|arson|English
arsiō, -nem|Latin|earlier|t|arson|English
artēria|Latin|immediate|t|artery|English
artēria|Greek|earlier|t|artery|English
estoner|French (Anglo-Norman)|immediate|t|astonished|English
*ex-tonāre|Late Latin|earlier|t|astonished|English
attaccare|Italian|earlier|t|attack|English
attaquer|French|immediate|t|attack|English
aunte|Old French|immediate|t|aunt|English
amita|Latin|earlier|t|aunt|English
automne|French|immediate|t|autumn|English
autumnus|Latin|earlier|t|autumn|English
baban|Welsh|immediate|t|baby|English
baggi|Old Norse|immediate|t|bag|English
beita|Old Norse|immediate|t|bait|English
böllr|Old Norse|immediate|t|ball|English
banvu|Kannada|earlier|t|bamboo|English
bamboes|Dutch|immediate|t|bamboo|English
banana|Wolof|earlier|t|banana|English
banana|Portuguese|immediate|t|banana|English
banque|French|immediate|t|bank|English
*bank-|Germanic|earlier|t|bank|English
banian|Portuguese|immediate|t|banyan|English
vaņij|Sanskrit|earlier|t|banyan|English
börkr|Old Norse|immediate|t|bark|English
barater|French|immediate|t|barter|English
bakka|Middle North Germanic|immediate|t|bat|English
batre|French (Anglo-Norman)|immediate|t|battery|English
battuere|Latin|earlier|t|battery|English
bataille|French|immediate|t|battle|English
battuālia|Late Latin|earlier|t|battle|English
battuālia|Late Latin|immediate|t|battle-axe|English
baie|French|immediate|t|bay|English
baia|Latin|earlier|t|bay|English
beccus|Latin|earlier|t|beak|English
bec|French|immediate|t|beak|English
*bellitā-s, -tis|Late Latin|earlier|t|beautiful|English
biaute|French (Anglo-Norman)|immediate|t|beautiful|English
causa, earlier caussa|Latin|immediate|t|because|English
Beguinard|French|immediate|t|beggar|English
balteus|Latin|immediate|t|belt|English
silen-s, -tem|Latin|immediate|t|(be) silent|English
trair|French (Anglo-Norman)|immediate|t|betray|English
tradere|Latin|earlier|t|betray|English
kúklos|Greek|immediate|t|bicycle, bike|English
bille|French (Anglo-Norman)|immediate|t|bill|English
bulla|Latin|earlier|t|bill|English
certificātum|Latin|earlier|t|birth certificate|English
certificat|French|immediate|t|birth certificate|English
blasphēmein|Greek|earlier|t|blame|English
blâme|French|immediate|t|blame|English
blank|Germanic|earlier|t|blanket|English
blankete|French (Anglo-Norman)|immediate|t|blanket|English
blenken|Dutch|immediate|t|blink|English
blestre|French (Anglo-Norman)|immediate|t|blister|English
blue|Old French|immediate|t|blue|English
*blǽwaz|Germanic|earlier|t|blue|English
bullire|Latin|earlier|t|boil|English
boillir|French (Anglo-Norman)|immediate|t|boil|English
bombe|French|immediate|t|bomb|English
bómbos|Greek|earlier|t|bomb|English
womurrang|Dharuk|immediate|t|boomerang|English
bote|Old French|immediate|t|boot|English
butin|French|immediate|t|booty|English
Beute|German|earlier|t|booty|English
botaille|Old French|immediate|t|bottle|English
buttis|Latin|earlier|t|bottle|English
bodne, borne|French (Anglo-Norman)|immediate|t|boundary|English
bracelet|French (Anglo-Norman)|immediate|t|bracelet|English
bracchiāle|Latin|earlier|t|bracelet|English
brak|Middle Low German|immediate|f|brackish|English
brak|Dutch|immediate|f|brackish|English
bracke|Middle Dutch|earlier|t|brake|English
braquer|French|immediate|t|brake|English
branca|Latin|earlier|t|branch|English
branche|French|immediate|t|branch|English
brave|French|immediate|t|brave|English
bravo|Italian|earlier|t|brave|English
bricke|Middle Low German|earlier|f|brick|English
bricke|Dutch|earlier|f|brick|English
brique|French|immediate|t|brick|English
brosse|French|immediate|t|brush|English
bruscum|Latin|earlier|t|brush|English
*būfalus|Latin|earlier|t|buffalo|English
búfalo|Portuguese|immediate|t|buffalo|English
omnibus|Latin|immediate|t|bus|English
butyrum|Latin|immediate|t|butter|English
boútūron|Greek|earlier|t|butter|English
boton|French|immediate|t|button|English
*bottāre|Late Latin|earlier|t|button|English
calendier|French|immediate|t|calendar|English
calendae|Latin|earlier|t|calendar|English
kálfi|Old Norse|immediate|t|calf|English
kalla|Old Norse|immediate|t|call (1)|English
kalla|Old Norse|earlier|t|call (2)|English
calme|French|immediate|t|calm|English
kaúma|Greek|earlier|t|calm|English
gāmal|Proto-Semitic|earlier|t|camel|English
camēlus|Latin|immediate|t|camel|English
campus|Latin|immediate|t|camp|English
candella|Latin|immediate|t|candle|English
kanawa|Taino|earlier|t|canoe|English
canoa|Spanish|immediate|t|canoe|English
cappa|Latin|immediate|t|cap|English
caput|Latin|earlier|t|cape|English
cap|French|immediate|t|cape|English
captīvus|Latin|earlier|t|captive|English
captif|French|immediate|t|captive|English
carre|French (Anglo-Norman)|immediate|t|car|English
*karros|Celtic|earlier|t|car|English
carcassa|Italian|earlier|t|carcass|English
carcois|French (Anglo-Norman)|immediate|t|carcass|English
qalipu|Mikmaq|earlier|t|caribou|English
caribou|French|immediate|t|caribou|English
*carpentārius|Late Latin|earlier|t|carpenter|English
carpentier|French (Anglo-Norman)|immediate|t|carpenter|English
carpite|Middle French|immediate|t|carpet|English
carpita|Latin|earlier|t|carpet|English
carier|French (Anglo-Norman)|immediate|t|carry|English
*karros|Celtic|earlier|t|carry|English
kartr|Old Norse|immediate|t|cart|English
cassave|French|immediate|t|cassava|English
casavi|Taino|earlier|t|cassava|English
kasta|Old Norse|immediate|t|cast|English
castellum|Latin|earlier|t|castle|English
castel|French (Anglo-Norman)|immediate|t|castle|English
cachier|French (Anglo-Norman)|immediate|t|catch|English
*captiāre|Latin|earlier|t|catch|English
catel|French (Anglo-Norman)|immediate|t|cattle|English
capitāle|Latin|earlier|t|cattle|English
cause|French|immediate|t|cause|English
causa|Latin|earlier|t|cause|English
cāva|Latin|earlier|t|cave|English
cave|French|immediate|t|cave|English
cesser|French|immediate|t|cease|English
cessāre|Latin|earlier|t|cease|English
centipeda|Latin|immediate|t|centipede|English
*certānus|Latin|earlier|t|certain|English
certain|French|immediate|t|certain|English
chaîne|French|immediate|t|chain|English
catēna|Latin|earlier|t|chain|English
kathédra|Greek|earlier|t|chair|English
chaire|Old French|immediate|t|chair|English
chamaeleon|Latin|immediate|t|chameleon|English
khamailéōn|Greek|earlier|t|chameleon|English
changer|French|immediate|t|change|English
cambiāre|Latin|earlier|t|change|English
chacier|French (Anglo-Norman)|immediate|t|chase|English
*captiāre|Late Latin|earlier|t|chase|English
caupō|Latin|immediate|t|cheap|English
cāseus|Latin|immediate|t|cheese|English
cista|Latin|immediate|t|chest|English
kistē|Greek|earlier|t|chest|English
chevetain|French (Anglo-Norman)|immediate|t|chieftain|English
capitānus|Latin|earlier|t|chieftain|English
chilli|Nahuatl|earlier|t|chili (pepper)|English
chile|Spanish|immediate|t|chili (pepper)|English
caminata|Late Latin|earlier|t|chimney|English
cheminée|French|immediate|t|chimney|English
*cisellium|Late Latin|earlier|t|chisel|English
chisel|French (Anglo-Norman)|immediate|t|chisel|English
kuriakon|Greek|immediate|t|church|English
cigarro|Spanish|earlier|t|cigarette|English
cigarette|French|immediate|t|cigarette|English
circulus|Latin|immediate|t|circle|English
circumcīdere|Latin|immediate|t|circumcision|English
citezein|French (Anglo-Norman)|immediate|t|citizen|English
*cīvitātānus|Late Latin|earlier|t|citizen|English
kítron|Greek|earlier|t|citrus|English
citrus|Latin|immediate|t|citrus|English
cīvi-tās, -tātem|Latin|earlier|t|city|English
cite|French (Anglo-Norman)|immediate|t|city|English
clann|Gaelic (Scottish)|immediate|t|clan|English
planta|Latin|earlier|t|clan|English
cler|French (Anglo-Norman)|immediate|t|clear|English
clārus|Latin|earlier|t|clear|English
clocca|Late Latin|earlier|t|cloak|English
cloque|French|immediate|t|cloak|English
klokke|Dutch|immediate|t|clock|English
clocca|Late Latin|earlier|t|clock|English
clore|French|immediate|t|close|English
claudere|Latin|earlier|t|close|English
klubba, klumba|Old Norse|immediate|t|club|English
cote|French|immediate|t|coat|English
coccus|Latin|earlier|t|cock|English
coq|French|immediate|t|cock|English
cucaracha|Spanish|immediate|t|cockroach|English
coco|Spanish|immediate|t|coconut|English
qahwa|Arabic|earlier|t|coffee|English
koffie|Dutch|immediate|t|coffee|English
coin|French (Anglo-Norman)|immediate|t|coin|English
cuneus|Latin|earlier|t|coin|English
coler|French|immediate|t|collar|English
collāre|Latin|earlier|t|collar|English
colligere|Latin|earlier|t|collect|English
collecter|Middle French|immediate|t|collect|English
colour|Old French|immediate|t|colour|English
color|Latin|earlier|t|colour|English
commandāre|Latin|earlier|t|command|English
cumander|French (Anglo-Norman)|immediate|t|command|English
concevoir|French|immediate|t|conceive|English
concipere|Latin|earlier|t|conceive|English
condemner|French (Anglo-Norman)|immediate|t|condemn|English
condemnāre|Latin|earlier|t|condemn|English
kōnos|Greek|earlier|t|cone|English
conus|Latin|immediate|t|cone|English
convaincre|French|immediate|t|convict|English
convincere|Latin|earlier|t|convict|English
coquere|Latin|immediate|t|cook|English
coquere|Latin|immediate|t|cooked|English
cuprum|Latin|immediate|t|copper|English
kyprion|Greek|earlier|t|copper|English
copulāre|Latin|immediate|t|copulate|English
corvus marīnus|Latin|earlier|t|cormorant|English
cormoran|Old French|immediate|t|cormorant|English
cornerium|Late Latin|earlier|t|corner|English
corner|French (Anglo-Norman)|immediate|t|corner|English
corpus|Latin|earlier|t|corpse|English
cors|Middle French|immediate|t|corpse|English
qutn|Arabic|earlier|t|cotton|English
coton|French|immediate|t|cotton|English
compter|French|immediate|t|count|English
computāre|Latin|earlier|t|count|English
contrée|French|immediate|t|country|English
contrāta (terra)|Latin|earlier|t|country|English
court|Old French|immediate|t|court|English
cohor-s, -tem|Latin|earlier|t|court|English
cousin|French|immediate|t|cousin|English
consobrīnus|Latin|earlier|t|cousin|English
couvrir|French|immediate|t|cover|English
cooperīre|Latin|earlier|t|cover|English
coyote|Spanish|immediate|t|coyote|English
coyotl|Nahuatl|earlier|t|coyote|English
krafla|Old Norse|immediate|t|crawl|English
crime|French|immediate|t|crime|English
crīmen|Latin|earlier|t|crime|English
cocodrille|French (Anglo-Norman)|immediate|t|crocodile|English
krokódeilos|Greek|earlier|t|crocodile|English
krókr|Old Norse|immediate|t|crooked|English
crux|Latin|immediate|t|cross|English
crochir|French (Anglo-Norman)|immediate|t|crouch|English
croisir|French (Anglo-Norman)|immediate|t|crush|English
cruscīre|Latin|earlier|t|crush|English
crier|French (Anglo-Norman)|immediate|t|cry|English
quirītāre|Latin|earlier|t|cry|English
cultivāre|Latin|immediate|t|cultivate|English
cuppa (Vulgar), cūpa (Classical)|Latin|immediate|t|cup|English
curer|Middle French|immediate|t|cure|English
cūráre|Latin|earlier|t|cure|English
custome|Old French|immediate|t|custom|English
consuetũdō|Latin|earlier|t|custom|English
kuta|Old Norse|immediate|t|cut|English
damage|Old French|immediate|t|damage|English
damnum|Latin|earlier|t|damage|English
dansōn|Germanic|earlier|t|dance|English
danser|French|immediate|t|dance|English
*domniārium|Latin|earlier|t|danger|English
danger|French (Anglo-Norman)|immediate|t|danger|English
dette|French|immediate|t|debt|English
debitum; dēbēre|Latin|earlier|t|debt|English
deceite|Old French|immediate|t|deceit|English
dēcipere|Latin|earlier|t|deceit|English
defeit|Old French|immediate|t|defeat|English
